,,W0,W1,W2,W3,W4,W5,W6
F0,S0,4.633629634691479e-08,3.541759692902906e-08,7.401876062658967e-08,4.331880205444988e-08,1.1428752947862085e-07,4.7330738968731105e-08,3.693313637164909e-08
F0,S1,3.795376223637736e-08,3.32096548940559e-08,6.778743244014679e-08,3.2888064187848234e-08,8.125661091764397e-08,4.597578532215062e-08,2.7931302483902165e-08
F0,S2,6.209073349918793e-07,5.208415744823334e-08,9.529401274599782e-08,4.215793931198364e-08,2.194971252144903e-07,1.7007292346295354e-07,3.814390767651326e-08
F0,S3,3.070070639476813e-08,3.5868218558495896e-08,1.4166070571157695e-07,4.752247530358224e-08,1.1272877966299746e-07,4.46492415206491e-08,4.8430746335509754e-08
F0,S4,4.0922853353436393e-08,3.186795776361868e-08,7.092936316009433e-08,3.150953652635137e-08,9.036167380493216e-08,4.9989660355204944e-08,2.7220525062415985e-08
F0,S5,3.844644332254236e-08,2.9819721008341804e-08,6.175665931360442e-08,3.040004563559016e-08,8.360446748362644e-08,4.288412535787039e-08,2.650566170526508e-08
F0,S6,4.071392504147045e-08,7.519584931646906e-08,7.323491573151012e-08,3.913359060514419e-08,9.259319589407628e-08,6.157123643988286e-08,3.230065039114131e-08
F0,S7,3.3303944001326705e-08,3.383855762189334e-08,6.260580803549103e-08,4.003983283068031e-08,7.30459966311478e-08,4.2701328326832816e-08,2.8788856349154466e-08
F0,S8,3.495919358621515e-08,3.5522215420011906e-08,6.366182072233247e-08,3.330373519004897e-08,7.481631972142857e-08,4.1283075043736805e-08,2.7546485255713542e-08
F0,S9,4.2727573887732116e-08,5.142665209375186e-08,7.166133408539437e-08,4.99823709794866e-08,8.758498749014961e-08,6.118924664303909e-08,3.259289224687566e-08
F0,S10,4.817562376740887e-08,4.2232714572085874e-08,7.817962327798147e-08,4.098178294095027e-08,1.1161278367719826e-07,6.247044963042941e-08,3.516982283137226e-08
F0,S11,3.281110642525044e-08,2.9360688519200052e-08,6.487320795313526e-08,2.720892618648075e-08,7.499434519559278e-08,3.993154201691916e-08,2.484682549350439e-08
F0,S12,3.400609713608378e-08,3.549612118521285e-08,1.3694366427073803e-07,5.962096136440078e-08,1.4191742449865578e-07,4.310710432903767e-08,5.947673498997365e-08
F0,S13,5.249340288682334e-08,5.193130665386571e-08,7.823360975557948e-08,3.4113957558314633e-08,1.0137841926303677e-07,8.054573941058463e-08,2.937529752112779e-08
F0,S14,4.360825812065602e-08,4.47969963785338e-08,1.2434243155409774e-07,1.454722582699878e-07,1.51990576180997e-07,6.097134751377792e-08,9.270230186885607e-08
F0,S15,3.924806682472538e-08,3.397399250286088e-08,5.850020792282417e-08,2.970891367934863e-08,8.240138544309469e-08,4.761642843717107e-08,2.4350562860532264e-08
F0,S16,3.322709624301773e-08,2.9881274309701354e-08,6.220646819608712e-08,3.081286951825878e-08,7.503115831865654e-08,3.861439120564934e-08,2.578074789613788e-08
F0,S17,7.548106435391315e-08,4.53011642778544e-08,7.202471366478318e-08,1.9771955932049153e-07,1.60250459726956e-07,5.961451742161411e-08,7.430805836903418e-08
F0,S18,9.403682308779796e-08,4.1432398989897215e-08,1.033493360929575e-07,3.934095594388424e-08,2.1205462090374858e-07,8.557081789139964e-08,4.258640802812486e-08
F0,S19,4.0114820808744604e-08,3.2381515038242696e-08,7.165976158756827e-08,3.155956172182033e-08,8.76334785977606e-08,5.011936181543119e-08,2.9032267822246597e-08
F0,S20,5.230609169963776e-08,3.649991161348667e-08,6.684551753226282e-08,3.91890260054195e-08,1.030535404237032e-07,5.757723666623005e-08,3.1805907701252615e-08
F0,S21,6.237074621036463e-08,7.084036267471642e-08,7.802908086429212e-08,5.267052575705285e-08,1.1740537870269192e-07,9.21834373980888e-08,3.7748194143433724e-08
F0,S22,4.8852421605417485e-08,4.279592436628185e-08,7.774751461525024e-08,5.010380077893727e-08,9.627698176747279e-08,6.018129817566497e-08,3.5777470379687694e-08
F0,S23,2.9842698380194985e-07,5.2527082952236925e-08,8.57278083627987e-08,4.317133169196761e-08,2.862439134867493e-07,1.1083307340880674e-07,4.4306184879945947e-08
F0,S24,1.2385751164529095e-07,2.617247147062412e-07,9.08030223051581e-08,5.54706079805503e-08,2.5698188673988855e-07,164.32737074891543,4.680570538837261e-08
F0,S25,4.5909032865711607e-08,3.728796629010465e-08,6.522756635016892e-08,4.086534649253014e-08,9.454907583437676e-08,4.6141579507686844e-08,3.4247234202570944e-08
F0,S26,3.6866760174368335e-08,3.02397193279866e-08,6.587525642019697e-08,3.191036691659022e-08,7.84085142991657e-08,4.1930275463387754e-08,2.717150190339014e-08
F0,S27,4.2941849649400484e-08,3.542920429995421e-08,6.982011508422138e-08,3.7327600005894846e-08,9.150408895451983e-08,5.1144555610033876e-08,3.061051884826839e-08
F0,S28,6.514582007622292e-08,5.251920514411868e-07,1.0839060772542243e-07,4.9374972777426435e-08,2.0640532093277166e-07,8.066597933048591e-07,5.3047756517819174e-08
F0,S29,2.8192049979322137e-08,2.7886428237745158e-08,5.746968217122424e-08,2.8761733574035364e-08,6.722760744693234e-08,3.451402603430835e-08,2.3817762734104846e-08
F0,S30,210.24275495159605,39.48526258384378,1.1224262898432888e-07,1.0074678570154937e-07,1.9289871828680364e-06,256.14268662388173,1.1591269861471754e-07
F0,S31,6.346044698490761e-08,6.173838712991702e-08,7.558280342789435e-08,4.640545837960657e-08,1.3431284607655043e-07,7.927947509619788e-08,4.16292323345503e-08
F0,S32,3.445374384903027e-08,3.374577328470073e-08,6.374746670581844e-08,3.1303633854567926e-08,7.525780454497286e-08,4.463947881821682e-08,2.555256125757825e-08
F0,S33,6.087070425044058e-08,3.480579399625357e-08,6.531758228466482e-08,3.154711985128963e-08,1.0993337888547634e-07,6.297396895588877e-08,2.6297356731672637e-08
F0,S34,6.195151568857328e-08,5.845704543078519e-08,1.0441788479151391e-07,3.555092775018463e-08,1.5708543195115445e-07,1.108984734670317e-07,3.671671786298977e-08
F0,S35,3.778971505122642e-08,2.7763783850877623e-08,6.228350163054966e-08,3.791209863467765e-08,8.180533523093937e-08,3.900808681775031e-08,2.8739669283486484e-08
F0,S36,3.8994619363495984e-08,3.7953707144526644e-08,6.648940024151122e-08,3.855847484891625e-08,8.80169662039743e-08,4.3651715917397865e-08,3.232094554100271e-08
F0,S37,5.3312399464474486e-08,5.3065959621259475e-08,8.969774869996917e-08,3.136333527797051e-08,9.705038651271046e-08,1.05259022213898e-07,2.8709801375968825e-08
F0,S38,3.7281351584374136e-08,4.041674181594334e-08,7.154403274742945e-08,1.34226923264445e-07,8.989899624615222e-08,4.610102691138484e-08,4.850782539095176e-08
F0,S39,4.185959343645551e-08,8.644729387129018e-08,8.582425061956154e-08,4.7290228466199247e-08,1.0549331935743444e-07,6.26003157775955e-08,4.5776185416867545e-08
F0,S40,3.5839146213438996e-08,6.179724981196095e-08,8.431007587331856e-08,5.287868870858459e-08,9.996643296268958e-08,6.12379480127828e-08,4.185217205774487e-08
F0,S41,5.3886811410611305e-08,3.1880903046408986e-08,6.904241867791414e-08,3.41419012719794e-08,1.107080608498514e-07,5.366802071070234e-08,3.0166877668734535e-08
F0,S42,4.610154448649864e-08,4.5787589574517193e-08,9.283471341951102e-08,3.622704187190273e-08,1.1152411473371007e-07,6.729123472369633e-08,3.413653666978363e-08
F0,S43,2.9435918435672703e-08,3.292864839625182e-08,8.10647437791119e-08,3.571174795457045e-08,8.670892244190226e-08,4.075510476983918e-08,3.3128388355967146e-08
F0,S44,3.518046372723784e-08,4.240520840188816e-08,6.224890562406761e-08,6.099889456394277e-08,7.647159248915872e-08,4.299824956297488e-08,3.51285481668575e-08
F0,S45,2.7900021422488422e-08,2.5897179814007693e-08,6.1280617133776e-08,3.44459453890506e-08,6.722632201914215e-08,3.340827268330533e-08,2.6759450095780182e-08
F0,S46,4.46419242187752e-08,4.650254730755129e-08,6.593997624918617e-08,3.43024820708605e-08,9.475293925042283e-08,5.108005855126352e-08,2.7203600372517078e-08
F0,S47,4.9393502552669634e-08,4.256843475693548e-08,6.727046003904007e-08,3.044764083133718e-08,9.49097542384918e-08,7.062377520082783e-08,2.5191524914206838e-08
F0,S48,2.862249227604779e-08,2.486407538533794e-08,5.59080970686364e-08,2.8314611898012265e-08,6.694881236180179e-08,3.274635395573348e-08,2.361913193946981e-08
F0,S49,6.721153309028885e-08,1.8473361996584617e-07,1.0444342285193268e-07,5.7287933384603845e-08,2.1084890871462541e-07,5.023681887626457e-07,4.99698201259447e-08
F0,S50,8.685208871360458e-08,3.726789179799432e-08,7.75408748158726e-08,4.6260352276133725e-08,1.519882858956367e-07,6.718125124137532e-08,4.018746638193747e-08
F0,S51,7.480259812209221e-08,3.6922541967376836e-08,7.739225463842994e-08,8.186912217766817e-08,1.3515921545423562e-07,6.361727228852483e-08,5.3140110623034846e-08
F0,S52,3.3009722937893225e-08,3.300780839994876e-08,6.41767330317902e-08,3.7828342457236196e-08,7.630862524455934e-08,4.103494512427729e-08,2.908747854258928e-08
F0,S53,4.517506698386498e-08,787.5035213704265,1.490056312920639e-07,5.084779249734613e-08,1.771752997089437e-07,203.44550982468402,5.688832171015529e-08
F0,S54,3.235017599348314e-08,3.6302976910939806e-08,6.767820082225749e-08,3.701201683824198e-08,8.108255214213985e-08,4.1991523285943566e-08,3.041060272589022e-08
F0,S55,3.926809148793551e-08,9.741485533497324e-08,2.614280703859645e-07,2.864764196021015e-07,1.973253559031671e-07,8.66989632755934e-08,1.636129331347885e-07
F0,S56,3.198906624893401e-08,3.327859230294209e-08,6.47130998228015e-08,2.7302680791361624e-08,7.145632050382556e-08,4.714969030713062e-08,2.3797580148913416e-08
F0,S57,4.5569732071969515e-08,3.309238859787766e-08,5.656829753401652e-08,3.248384523122925e-08,8.747019766378331e-08,4.685939375626432e-08,2.5145688385051687e-08
F0,S58,3.4385344904478706e-08,2.8599480882893005e-08,6.188664255808508e-08,3.5422368281487745e-08,8.215924201879847e-08,3.9017073069015905e-08,2.878835185971044e-08
F0,S59,3.412706629553338e-08,2.7753701773159328e-08,5.751310864349922e-08,3.148322256845644e-08,7.231561703742983e-08,3.926231613147042e-08,2.496004303345054e-08
F0,S60,4.810646972343228e-07,4.268840194281947e-08,8.149863983852104e-08,4.679175659567242e-08,2.3016632945437627e-07,1.1115863350303644e-07,4.1467196511397075e-08
F0,S61,4.1653244967978175e-08,3.740671989629599e-08,6.252557151531921e-08,4.624959728459262e-08,8.640711724246126e-08,4.6898919226901134e-08,3.1974816282783995e-08
F0,S62,4.389725262775572e-08,7.759474829933276e-08,1.865043552156525e-07,8.67698129717751e-08,2.394224270569331e-07,6.293402560417703e-08,1.0770614065848715e-07
F0,S63,3.019303202586924e-08,4.112253021188631e-08,6.312340035070236e-08,3.3632911186137815e-08,7.3513416687423e-08,4.5985061308264314e-08,2.7567769044300486e-08
F0,S64,1.3703698812180206e-07,5.507527743119773e-08,8.58787225848737e-08,3.999566829263457e-08,2.477036355326817e-07,1.3245390740197027e-07,3.357925986788332e-08
F0,S65,8.38349025027237e-08,6.14116014170413e-08,1.4422643659769046e-07,5.0993251268959e-08,4.408665218889298e-07,8.113222152045305e-08,5.476203797727983e-08
F0,S66,3.5784392629111345e-08,3.115271722695729e-08,6.115900105293199e-08,2.954090177537871e-08,7.543425348152002e-08,4.148402310499406e-08,2.510490733428577e-08
F0,S67,1.3198387148687441e-07,6.217449891764383e-08,1.8732619960951678e-07,45.80344606379422,79.92726189727301,9.586750758117897e-08,7.694218182999885e-07
F0,S68,4.2972969610845536e-08,2.980754558458743e-08,5.6928087440172314e-08,3.0745319700930505e-08,8.069507470413466e-08,4.3405105835956616e-08,2.4628752047050184e-08
F0,S69,1.172911535981102e-07,5.331430230004447e-08,7.930518812389985e-08,3.4833863076837825e-08,1.4338613194570562e-07,1.4000123104253093e-07,3.1732478805754434e-08
F0,S70,5.539583490814302e-08,3.614405860244675e-08,7.81297586544034e-08,3.3573846758026617e-08,1.2226159670819562e-07,5.5763087087247986e-08,3.159632589779829e-08
F0,S71,5.542455417807566e-08,3.6273290781722204e-08,6.434648746686097e-08,3.4276331930728986e-08,1.1317052055969136e-07,5.865012799442891e-08,2.8463612543093536e-08
F0,S72,2.7855621280449002e-08,3.353467450205569e-08,6.496985488374679e-08,3.4999324566609374e-08,6.925917253601919e-08,3.7300654107907815e-08,2.731307312004865e-08
F0,S73,6.629128061418211e-08,4.0806140093021595e-08,6.429263189855409e-08,3.2842057645412635e-08,1.0593499276514236e-07,7.346262994867267e-08,2.6262602899852185e-08
F0,S74,4.838201558576806e-08,3.532482826198228e-08,6.380987385896602e-08,9.235138726732965e-08,9.387322487111992e-08,4.766487413860435e-08,4.122787002511945e-08
F0,S75,2.805657965992885e-08,2.9552269666627263e-08,6.29153682557094e-08,5.174743597824532e-08,6.694415632545715e-08,3.458166885226704e-08,3.185501906091179e-08
F0,S76,29.282852681573402,1.9176274561701498e-07,1.0468386677367365e-07,138.25535017099472,6.039141917759299e-07,4.47797001297349e-07,2.0446361367390743e-07
F0,S77,3.250129302883419e-08,4.398290393458022e-08,1.246269693933674e-07,5.2229079669657054e-08,1.1712833531325789e-07,5.0632951255650884e-08,4.7611151540303385e-08
F0,S78,5.978704211257577e-08,6.377359713942614e-08,7.844924111519523e-08,5.161114712782429e-08,1.447703253671955e-07,1.0941002045625049e-07,3.8366694401886406e-08
F0,S79,6.827874079641764e-08,6.616067181365523e-08,6.553014448189918e-08,5.4097057217892694e-08,8.774665646252666e-08,1.0863034360402745e-07,2.9167812977383638e-08
F0,S80,2.772350109745822e-08,3.089514705266197e-08,8.99936975406657e-08,2.6616035595168722e-08,8.894929401315435e-08,3.94784851075807e-08,2.983395718260303e-08
F0,S81,4.486144392723334e-08,5.070243560547259e-08,1.9443197604069689e-07,5.521892854536248e-08,2.1835445580413354e-07,6.367469530829733e-08,6.127024170343052e-08
F0,S82,3.927045912795293e-08,4.0373327047390754e-08,9.295170739625073e-08,3.8586525845977694e-08,1.1068444488369564e-07,5.1769028062120266e-08,3.819267714175115e-08
F0,S83,6.35416265873718e-08,2.899659068645766e-08,5.970207064768892e-08,2.9284833796906934e-08,9.76053543479409e-08,5.338686915474994e-08,2.4890459534610503e-08
F0,S84,2.9035502153506447e-08,2.5975105280209077e-08,5.667902509597455e-08,3.226389897296421e-08,6.624756858308597e-08,3.31752133447495e-08,2.5401749953935428e-08
F0,S85,5.818984182898464e-08,4.417385804920316e-08,7.13240810878525e-08,1.0735984405010363e-07,1.2173043625185449e-07,5.6809379604932926e-08,5.6941288982824074e-08
F0,S86,7.02824957838576e-08,5.668107197997747e-08,7.474519391883439e-08,4.565472315377188e-08,1.5263324374949358e-07,8.29432193198675e-08,3.4259254139722575e-08
