,,W0,W1,W2,W3,W4,W5,W6
F0,S0,4.4914965547486106e-08,6.766646609020835e-08,5.6319876354524877e-08,1.381697933367199e-08,3.1207309319683124e-08,7.964064735007269e-08,5.4917510864972654e-08
F0,S1,3.977072963811587e-08,5.524040198176886e-08,6.238211217257799e-08,1.2545726834455592e-08,2.8835196074401272e-08,6.646681206182089e-08,5.563788164266746e-08
F0,S2,8.86896787361514e-08,7.398802846887264e-08,6.658986582839755e-08,1.3156005970971207e-08,4.262655846182793e-08,1.0729725677708828e-07,6.132309276485339e-08
F0,S3,5.0200176156068576e-08,6.882235710098651e-08,7.030156361236671e-08,1.6640888913894797e-08,3.540015499064201e-08,9.940284057433198e-08,7.186753873113017e-08
F0,S4,6.68321363158282e-08,599.361279742421,8.673230295106481e-08,1.7517361744190872e-08,3.583688555861953e-08,25.92670645137846,7.484054807904055e-08
F0,S5,4.0387277947096717e-08,5.319122149256412e-08,6.00801095490059e-08,1.2364159566660157e-08,3.064031852897255e-08,7.086672957537525e-08,5.533849199913911e-08
F0,S6,6.616715711363401e-08,1.0492060211169689e-07,9.900137819777776e-08,2.6873097658303197e-08,4.625303194405629e-08,1.7443479451200752e-07,1.1643944121232079e-07
F0,S7,4.8706888071117374e-08,7.196255139649479e-08,6.424662898910834e-08,2.1736013328283492e-08,3.208245192959026e-08,1.0162426047155566e-07,7.669654444138497e-08
F0,S8,3.969852738981347e-08,6.245163203095906e-08,5.255342109353416e-08,1.3842277204248524e-08,2.6230672642888382e-08,7.390003347750427e-08,5.212886250739e-08
F0,S9,3.944591557376308e-08,7.339208052933561e-08,6.020072982437911e-08,1.5562125791131483e-08,3.059120820803388e-08,8.783320468894321e-08,6.172255257528304e-08
F0,S10,3.800932126571607e-08,5.373806159169078e-08,5.915090134068354e-08,1.4339709717563977e-08,2.744980783718125e-08,7.180449537960148e-08,5.931187963777946e-08
F0,S11,9.376173098452313e-08,9.300262545881386e-08,5.599276670665698e-08,2.0132466421182502e-08,3.6735359209414354e-08,1.2203572953345112e-07,6.440570429775204e-08
F0,S12,5.2717957520484176e-08,5.709627023428874e-08,5.789392707890572e-08,1.2668091845554356e-08,3.135515252315816e-08,7.401012597390251e-08,5.3300165224131466e-08
F0,S13,1.0832278479479214e-07,1.9273021103537832e-07,6.100604970963531e-08,2.6231576384717365e-08,4.1192122392942537e-08,1.4232932050099524e-07,7.392194522763521e-08
F0,S14,4.714147927049957e-08,5.711246314974825e-08,5.502997887871035e-08,1.318545329873586e-08,2.9977106554322433e-08,8.228969753375072e-08,5.27499422207283e-08
F0,S15,3.9083303921124184e-08,6.453462325717069e-08,5.5167245232536394e-08,1.314922384002034e-08,2.6325641757149555e-08,7.77670470808126e-08,5.191717642668459e-08
F0,S16,3.483411260221346e-08,5.024343683721146e-08,5.207433073692951e-08,1.177388916981886e-08,2.625268342491727e-08,6.332961542783109e-08,5.035989975804835e-08
F0,S17,4.399436797653572e-08,6.735767225276898e-08,6.040856503963142e-08,1.3805924522051822e-08,3.122326821503324e-08,7.460037449702838e-08,5.704781585990693e-08
F0,S18,5.847484820028764e-08,6.562273236289333e-08,9.925191523227994e-08,1.4846069788495819e-08,4.440371345685752e-08,9.930431639973799e-08,8.86994844281956e-08
F0,S19,3.662631186135139e-08,5.26087805187443e-08,4.957359741150269e-08,1.2296822736539771e-08,2.4227395917943415e-08,7.163839869148364e-08,4.8894533900982516e-08
F0,S20,3.5577371798877835e-07,2.3454572138876531e-07,1.2429714281800847e-07,1.988992650512349e-08,1.378721373487436e-07,461.24165674448903,1.1188145307970929e-07
F0,S21,9.220121816519512e-08,5.645477706075026e-08,1.0770899073721791e-07,1.4227629585189043e-08,6.297251488538414e-08,1.0609428268456376e-07,1.0220385789943242e-07
F0,S22,6.446934655503932e-08,6.251536489978641e-08,7.365656123009807e-08,1.425116120734018e-08,4.3552277443582e-08,1.0993781801508874e-07,6.743596785825421e-08
F0,S23,4.571156335891358e-08,7.952703912767987e-08,6.01643690154108e-08,1.71400868362901e-08,3.5405831184264694e-08,9.081753859009807e-08,6.325497275197994e-08
F0,S24,5.905417649399721e-08,7.371261799653966e-08,6.506858961553244e-08,1.5813946500240507e-08,3.3753543610760494e-08,9.970427873991493e-08,6.60680465601069e-08
F0,S25,3.2686221651101423e-07,1.2922191041561533e-07,6.440170215743538e-08,1.4879390420874307e-08,3.7458303471752245e-08,9.905551912704889e-08,5.632417560513344e-08
F0,S26,3.917412556682195e-08,5.4719031967576206e-08,4.688097020553688e-08,1.2718076859418588e-08,2.44007519001731e-08,7.078653013817357e-08,4.7415383221832474e-08
F0,S27,6.148762825447731e-08,1.7842209529225962e-07,1.512284627414286e-07,6.09331430802153e-08,6.870973926070031e-08,3.4310060213781666e-07,2.3900399352833277e-07
F0,S28,2.6350036749205817e-07,7.710411566284957e-08,1.1425887342749424e-07,1.5625786242275704e-08,1.359700950077559e-07,2.080099189525058e-07,1.002199537693526e-07
F0,S29,3.491057922348495e-07,1.7284178708092513e-07,1.755644059416444e-07,2.090990649543026e-08,19.07747570134024,2.62051581622087e-07,1.8343241342289265e-07
F0,S30,3.855651542505504e-08,7.48525076032676e-08,5.543360743360272e-08,1.8202855057482784e-08,2.668209931117385e-08,8.746690640500187e-08,5.998667181590816e-08
