,0
W0,2.434379808846643e-09
W1,7.70687759166222e-08
W2,1.8897993170341465e-09
W3,5.468617891857264e-09
W4,1.1765259877449807e-09
W5,1.0682106310611061e-09
W6,2.4963672240474466e-09
