,,W0,W1,W2,W3,W4,W5,W6
F0,S0,4.4726195115673955e-08,8.094596397636661e-08,2.7122972871761947e-08,1.6423305757735874e-08,4.8552070975246855e-08,4.936975365739278e-08,3.85101808427714e-08
F0,S1,5.0877278115034865e-08,9.109612516393244e-08,3.500561269690456e-08,1.822419197388777e-08,5.956608426847467e-08,5.750950912296076e-08,4.8469485349033136e-08
F0,S2,5.422363864231028e-08,1.015828179158482e-07,3.116991377781081e-08,1.963694738316165e-08,5.785102696338455e-08,5.8455264092292685e-08,4.6375469278659795e-08
F0,S3,4.9198468546940713e-08,6.883929067151612e-08,4.020697690454744e-08,1.8970098795855864e-08,5.65880946030033e-08,4.741176004377827e-08,5.198931534345274e-08
F0,S4,4.759473495365596e-08,8.820059866580921e-08,2.5988202169243667e-08,1.760768569211162e-08,4.6768937934201654e-08,5.072595539232712e-08,3.8815771827532937e-08
F0,S5,6.805493049534187e-08,9.997893575343736e-08,29.390633503126637,2.371599532844152e-08,1.1722106632868068e-07,6.885783542957479e-08,1.655736464642689e-07
F0,S6,5.9440280367379575e-08,1.4350308421351085e-07,3.558368966021374e-08,2.3824481925103196e-08,6.086877845069554e-08,7.003393646597322e-08,5.1083976505770065e-08
F0,S7,1.071345731013394e-07,7.957407001637812e-08,5.524822942234496e-08,2.7290760487319656e-08,1.1424689995925892e-07,8.337281588993336e-08,6.886191233088661e-08
F0,S8,343.0913616842316,7.51380354578607e-08,4.8395059016880433e-08,1.7776287554777793e-07,41.39799004277196,102.4377134524561,1.21772324002993e-07
F0,S9,1.0246946406995937e-07,7.35703651626531e-08,2.980802111429624e-08,3.0869411258173014e-08,8.548182269477928e-08,9.586345028532666e-08,5.3000637786564555e-08
F0,S10,9.12917300618997e-08,9.817616375526679e-08,4.8549550977015404e-08,3.895750389823187e-08,9.198515549069735e-08,9.711561462781472e-08,7.182923728099048e-08
F0,S11,7.174418053342587e-08,9.769590497567107e-08,25.83878232158907,2.8906832659607758e-08,2.1952583366909756e-07,9.366029085753557e-08,2.1707613396429331e-07
F0,S12,4.120567508942823e-08,6.470316301355883e-08,2.69949338220285e-08,1.5890835642991088e-08,4.39322527308418e-08,4.1103976313944365e-08,3.89687701741858e-08
F0,S13,4.847104531274724e-08,8.224770995592991e-08,3.039707736631161e-08,1.9253835610373065e-08,4.924137490475587e-08,4.6344910437493325e-08,4.249123318951954e-08
F0,S14,6.700358204579808e-08,7.955407001492198e-08,1.736366550256513e-07,2.414153766698248e-08,9.137295076901015e-08,5.778502351589845e-08,1.513648051392022e-07
F0,S15,6.230640210200527e-08,9.701275815355101e-08,4.0380977134485736e-08,2.0741357418567195e-08,6.808012288516882e-08,5.670887869155918e-08,5.069972652572298e-08
F0,S16,5.0273202620235635e-08,8.302200230262079e-08,2.830151931242429e-08,1.9498149151850023e-08,5.044388500436219e-08,4.942560304505416e-08,4.205362362481737e-08
F0,S17,9.859609011830695,762.3631638888359,114.72121101502904,256.0541481707593,27.113825337829272,672.7834110019543,194.7149877515193
F0,S18,6.257074675994498e-08,3.0036736516540654e-07,8.087001617779058e-07,2.482865404006322e-08,1.3070046568114148e-07,9.11812185191845e-08,1.6909439599863294e-07
F0,S19,5.140793500918219e-08,1.0157886165190173e-07,3.607169363089175e-08,1.7847282853874513e-08,6.08605355975362e-08,5.707054029299833e-08,4.749363492965882e-08
F0,S20,4.377377344919208e-08,7.786348527882163e-08,2.8357630533316193e-08,1.7773966004070863e-08,4.97489241973317e-08,4.8495358670749814e-08,4.034775917548995e-08
F0,S21,7.42373317269628e-08,7.770384114765065e-08,3.5385504271127726e-08,2.8418570765885553e-08,7.168203455004661e-08,6.325243018144367e-08,5.4185359621460077e-08
F0,S22,6.77207650718855e-08,8.765461011046373e-08,4.3619049782783395e-08,2.447779164804967e-08,9.081446227154458e-08,7.806165495013584e-08,6.230332682446566e-08
F0,S23,5.291296956186681e-08,7.835152819157132e-08,3.0296473486576836e-08,1.8980744649484106e-08,5.1389827197873355e-08,5.0612405313922484e-08,4.2389918837823904e-08
F0,S24,5.83681586514679e-08,8.329000671306546e-08,3.9679111653109704e-08,2.0009557523769817e-08,6.272095325975144e-08,5.932807815154781e-08,5.7738335322245276e-08
F0,S25,4.617682278979628e-08,7.096137362818428e-08,2.7137758423132308e-08,1.8773769490968975e-08,4.6796867931556876e-08,4.6765403205239976e-08,4.142138022991209e-08
F0,S26,1.087519250795455e-07,8.554201607219567e-08,1.4400473609736932e-07,3.1592878671796446e-08,2.100910126265127e-07,1.1877466476501561e-07,7.880817293693951e-08
F0,S27,5.166629591341044e-08,8.541173120005335e-08,3.9152967863886884e-08,1.896943250082319e-08,6.075914260542688e-08,5.494328757698024e-08,5.098239208693366e-08
F0,S28,4.470905166312729e-08,7.384259878532618e-08,2.461181525536047e-08,1.655587368054573e-08,4.392073686911172e-08,4.392180783300767e-08,3.5740350361601965e-08
F0,S29,1.01792201683043e-07,1.2501786314758156e-07,6.483787654205242e-08,3.8707953329147785e-08,9.220436253477192e-08,1.259154806344639e-07,7.151274296200386e-08
F0,S30,8.034701888049473e-08,9.974785455954437e-08,6.31538496905108,3.084856164302264e-08,1.274896077811259e-07,6.442657534065387e-08,3.0634086779663417e-07
