,,W0,W1,W2,W3,W4,W5,W6
F0,S0,1.3357012177428093e-07,47.073702997541254,9.512630775607551e-06,1.062936549338433e-07,5.446041646759668e-07,9.8332358111259e-07,2.4754310477575787e-07
F0,S1,6.481906274508253e-08,1.0306006459036668e-08,4.759244864495803e-08,7.530317324888521e-08,9.567685783007907e-08,8.000601338579838e-08,5.43183051895594e-08
F0,S2,7.250325172855004e-08,1.3248951826991356e-08,5.303462622613967e-08,9.281427021927374e-08,1.0847737647593749e-07,9.497169550060117e-08,6.121371946984913e-08
F0,S3,1.5391283615944458e-07,183.23547298645275,4.791351862423878e-07,4.299541151778415e-07,3.1671746530822805e-07,64.72069990434538,2.3472781928574848e-07
F0,S4,6.416305571114101e-08,1.002868224810801e-08,4.402741384731803e-08,4.7260533736040796e-08,9.101120222462644e-08,7.693519859639112e-08,4.32415123349695e-08
F0,S5,5.91670362901842e-08,9.589342656995226e-09,4.7904674525995846e-08,4.721324730898913e-08,9.275569923230619e-08,7.352516955773135e-08,4.553948953880039e-08
F0,S6,4.9515301542563676e-08,7.158155728223282e-09,3.968210671294515e-08,4.837724251252244e-08,7.338152518329511e-08,5.400153417528051e-08,4.172248257270514e-08
F0,S7,6.395614793239517e-08,1.1980277140760806e-08,5.1527174126914663e-08,5.683488413260106e-08,9.670502752914016e-08,8.922295385497943e-08,4.871992970101521e-08
F0,S8,1.250953012772307e-07,2.3056657252416148e-08,1.4065687589453803e-07,6.395000091158943e-08,3.1902219712486656e-07,2.8109960892537143e-07,8.601517764265311e-08
F0,S9,9.57172808369845e-08,1.0251504266257613e-08,6.361669234339477e-08,5.4786928313443586e-08,1.6600635337423392e-07,9.695735316477958e-08,5.660619001641398e-08
F0,S10,6.549473085596259e-08,9.228034412786281e-09,7.14678011749382e-08,5.785140880905151e-08,1.3074776259837693e-07,7.620192896574833e-08,7.276381831238325e-08
F0,S11,5.3880705872886146e-08,7.681458764772029e-09,5.4892104665329914e-08,4.452407506652429e-08,1.0510960971551895e-07,6.378678603932278e-08,4.852602492685322e-08
F0,S12,6.944934823596555e-08,1.1522646126199227e-08,4.983622455936519e-08,6.444140547908927e-08,9.999693473324396e-08,8.151257997265846e-08,5.053030436825158e-08
F0,S13,5.910950946576512e-08,2.3036404526616148e-08,7.83949821723934e-08,4.801797296960465e-08,1.1514790067850501e-07,1.0291971152509692e-07,5.883943920104784e-08
F0,S14,7.817838128428828e-08,1.0488023993212423e-08,4.7597788443288915e-08,5.6246991921687196e-08,1.0367198457033186e-07,8.610033403874082e-08,5.00973517815514e-08
F0,S15,1.0938977928617115e-07,1.025236252536653e-08,5.813942807556017e-08,5.4781862741231434e-08,1.6806120132652374e-07,1.21367594226051e-07,5.744211213539871e-08
F0,S16,5.90612708069732e-08,8.024577739578185e-09,4.650395922195487e-08,4.68552636238225e-08,1.0083168227541966e-07,6.100931615363735e-08,4.864934879393011e-08
F0,S17,1.0279870176989957e-07,1.0299989891765032e-07,2.7920699561261237e-07,6.204745648124926e-08,1.906336354990615e-07,1.6146365899890872e-06,8.834329770561066e-08
F0,S18,1.3376439255720456e-07,1.2030238811244173e-08,8.156315887387445e-08,1.1129444163498656e-07,2.0714965902141292e-07,1.3712390866505264e-07,8.34977604463304e-08
F0,S19,5.276341017425735e-08,8.83743593497462e-09,4.166631553541013e-08,4.4763228795836286e-08,8.404367087753515e-08,6.129986021557298e-08,4.0881790576018576e-08
F0,S20,7.460120719521563e-08,2.0681123524985003e-08,7.932326760254363e-08,5.402889860006485e-08,1.1822818403864115e-07,1.425081717656658e-07,6.011841220685013e-08
F0,S21,4.99011225446799e-08,9.370896548125003e-09,4.492522010531042e-08,4.3295710172332195e-08,7.549467259146686e-08,6.223779443716094e-08,4.186713269653942e-08
F0,S22,7.340883304663447e-08,1.7495661704324652e-08,1.3155195320153084e-07,7.368190049696912e-08,1.8765859182597147e-07,8.545191618588211e-08,1.325896687445666e-07
F0,S23,1.3632134863417347e-07,2.893174116791106e-08,778.0820046815548,2.454453381195523e-07,377.41934504006315,1.0698894046758066e-07,362.93790718791365
F0,S24,71.45689969812234,8.730633339458864e-09,5.9435621029442546e-08,8.383519627405118e-08,4.375856603102504e-07,1.9017469801292624e-07,5.9292424255327324e-08
F0,S25,6.537447944957419e-08,8.26766779558922e-09,4.9956091790755145e-08,7.973141975477813e-08,1.0653746563464055e-07,7.016621910102767e-08,6.06467847691137e-08
F0,S26,8.847425276567158e-08,1.4936252973879602e-08,6.29493996603974e-08,6.020081884536249e-08,1.3620762899530826e-07,1.2784642600389379e-07,5.976973509048259e-08
F0,S27,5.772770566859943e-08,9.303441878956872e-09,4.323205486320797e-08,6.398179028621449e-08,8.808244126149577e-08,6.337534240343596e-08,4.8383151165420355e-08
F0,S28,5.5852391619329797e-08,7.74569023331555e-09,4.5116258092718656e-08,4.981597941995876e-08,8.608573326437699e-08,5.860730149317768e-08,4.511434350371939e-08
F0,S29,4.918487027509071e-05,1.0687804145760166e-08,6.340296860719491e-08,6.657018110532344e-08,5.045564207597196e-07,2.676084497976535e-07,5.906417233474772e-08
F0,S30,7.102061912937713e-08,1.0477850826151515e-08,6.008560779704639e-08,8.216451776524579e-08,1.458476541102594e-07,7.747668466599472e-08,6.813944564711963e-08
