,0
W0,2.1398732785726793e-09
W1,1.369566793307797e-09
W2,9.24237908428438e-10
W3,4.695528854625764e-09
W4,4.5985899865819135e-08
W5,8.196621159584083e-10
W6,3.703769513307975e-10
