,0
W0,4.805407183283705e-10
W1,1.4850007890032657e-09
W2,9.066784212308221e-09
W3,5.488348553406297e-09
W4,1.3892301087281567e-08
W5,5.518278722860259e-09
W6,4.534554065571683e-09
