,,W0,W1,W2,W3,W4,W5,W6
F0,S0,9.448539366281581e-08,4.153537033901374e-08,6.304192804349138e-08,5.2502740774898576e-08,1.0532926161384039e-07,1.569980633589941e-07,7.64109296177744e-08
F0,S1,7.597602080876115e-08,102.5946339814392,8.820949683618491e-08,6.869546218331198e-07,1.109257738294637e-07,9.762573862326612,1.486402082493825e-07
F0,S2,5.4317837453782895e-08,3.4904999399123384e-08,7.911637436639036e-08,7.531561136767729e-08,7.263727310513651e-08,6.21424666178433e-08,9.337963335931112e-08
F0,S3,8.665805300733745e-08,2.3865853417667724e-08,1.0317287331622286e-07,7.034439272905792e-08,1.0880486217924552e-07,5.146611125150197e-08,1.1037181724407231e-07
F0,S4,78.45089622543142,1.0252223691496918e-07,1.0882712426789026e-07,77.91371231687825,2.8364567911189604e-07,1.1570984592380412e-06,2.1284646747636791e-07
F0,S5,5.0246257868707645e-08,3.352968381189835e-08,8.24803086951599e-08,5.614102374854377e-08,6.705798645599346e-08,5.278043810281814e-08,8.910661501266645e-08
F0,S6,4.367859678596842e-08,2.7061120105375824e-08,6.451316379553408e-08,3.6936882351350826e-08,5.3054479468045006e-08,4.382481412483683e-08,5.506949118204465e-08
F0,S7,3.1760595546917307e-07,3.06165501297543e-08,8.116749627824417e-08,5.579270388623724e-08,1.7957507428821293e-07,1.8358722335436677e-07,8.167433553734184e-08
F0,S8,5.942939908051923e-08,2.6370659046692644e-08,7.648776757889975e-08,5.702072998664938e-08,7.176131246646714e-08,5.4410652443752254e-08,7.440999221327196e-08
F0,S9,9.310175662983456e-08,6.699557054734613e-08,9.070919052993381e-08,362.29306113905466,1.034410470603213e-07,1.3054732837941479e-07,7.920121110128467e-07
F0,S10,9.277825966507603e-08,6.112494372591105e-08,1.5239866834349722e-07,6.555704666957174e-08,1.2300640082290413e-07,1.091871088500015e-07,1.5206694423915448e-07
F0,S11,4.7656201910946766e-08,1.964085958867222e-08,5.8432594544814445e-08,3.787415102617536e-08,5.601700821709259e-08,3.7093302330081543e-08,5.150404390554055e-08
F0,S12,6.870123956243217e-08,4.113392460594525e-08,8.382130809694186e-08,5.8461272733080484e-08,7.627898913819946e-08,6.86763327281017e-08,8.063044667217813e-08
F0,S13,7.035320311499043e-08,2.8466559629983545e-08,1.0184741984107255e-07,7.739435455298073e-08,1.251236608219781e-07,5.565115279088948e-08,1.0006657143398766e-07
F0,S14,3.2960161440968137e-07,6.561054737887426e-07,4.2909458578554407e-07,2.1684553112369847e-07,3.9583084315939546e-07,45.05243088284197,53.44596091267002
F0,S15,2.7695281863719765e-06,1.8701112122550947e-07,1.4274389974217157e-07,1.140005158956116e-07,4.884927210140169e-07,1.222862631328068e-06,1.300037266351266e-07
F0,S16,7.77309725511928e-08,3.132940322703797e-08,9.770571689530398e-08,8.448663907776081e-08,9.995036248348606e-08,7.328631153650592e-08,1.1456036084870067e-07
F0,S17,6.820884908276751e-08,3.316136994080899e-08,7.492032981684326e-08,4.939579016753858e-08,6.845606265315448e-08,5.0650466448006324e-08,6.713166190447023e-08
F0,S18,5.440142785747484e-07,6.80523104107471e-08,6.343938640336331e-07,1.0090053154015924e-07,7.071063651069629e-07,7.604866325825788e-07,9.292398637413017e-07
F0,S19,6.215209241497125e-08,8.504272583660418e-08,8.63291223691987e-08,6.717114426127204e-08,6.596047915963606e-08,8.760958811478978e-08,1.030027298554772e-07
F0,S20,9.847424063058819e-08,3.3083876873408634e-08,9.784636161563797e-08,7.175187693112695e-08,1.4910787987090668e-07,1.0271916054831696e-07,1.0781277014296991e-07
F0,S21,2.2597584342014523e-07,4.924020234046119e-08,1.337735242556726e-07,7.704462317631303e-08,3.006427704720794e-07,1.486145147871228e-07,1.172791606275467e-07
F0,S22,5.065356146068041e-08,2.2521053001017138e-08,7.013413050862635e-08,5.055565516418152e-08,6.885753556820961e-08,4.606786888439993e-08,6.608129008247008e-08
F0,S23,3.0657268253329686e-06,4.4764573826379396e-08,1.6365279272632803e-07,9.008884169364702e-08,0.8712454656409832,4.201747545918193e-07,2.595912821002516e-07
F0,S24,9.790497664844145e-08,2.663988175809965e-08,6.892298561479655e-08,4.7236458057649526e-08,8.7416827515011e-08,5.8426296618307434e-08,6.746388333704156e-08
F0,S25,9.318157888933679e-08,2.997272692599375e-08,9.766901298101231e-08,5.0595298086268155e-08,1.1725850774323248e-07,6.88146270796749e-08,1.0162663668752086e-07
F0,S26,2.96003104376578e-07,5.4918324756452905e-08,9.940382622286522e-08,9.483144946797259e-08,1.6680411105924037e-07,1.0496221053179508e-07,1.4130321173648337e-07
F0,S27,5.6857686511630596e-08,4.294949161348179e-08,1.1042632606176857e-07,5.178237997014334e-08,7.40570974683153e-08,5.875998553566102e-08,7.974038725729261e-08
F0,S28,8.696377557503959e-08,2.9556558507835767e-08,9.454447622899456e-08,9.063171795926716e-08,1.19466880828314e-07,7.990858188584816e-08,1.2274300937244222e-07
F0,S29,1.5485146373228801e-07,3.2476261951558295e-08,8.545607122336873e-08,5.2928688231256575e-08,1.6156447249737232e-07,1.5063153561324053e-07,8.099773209044802e-08
F0,S30,1.0026485056267473e-07,2.1030031997711274e-07,1.197833112902177e-07,5.278647059045086e-08,1.0898870634232584e-07,1.436509884488896e-07,8.4804877424025e-08
