,,W0,W1,W2,W3,W4,W5,W6
F0,S0,6.432227056353156e-08,5.424953516354416e-08,3.620924982907097e-08,1.859293125102311e-08,2.7959303165910795e-08,4.0760899910010225e-08,6.445699053452556e-08
F0,S1,1.1535637324916522e-07,7.955651369764555e-08,8.621434398878343e-08,7.009210366372755e-08,2.9675969884197286e-07,6.94173631193543e-08,3.455786487558736e-07
F0,S2,8.854915941172719e-08,9.713934530144371e-08,7.844522950390093e-08,3.989783307352633e-08,6.947220869249803e-08,6.555232822407448e-08,1.5584823304313622e-07
F0,S3,6.343222080327299e-08,5.86833650469372e-08,4.779853165528682e-08,2.160673884359925e-08,3.506421737997895e-08,4.345573695685212e-08,8.228711242751096e-08
F0,S4,6.688653978439228e-07,4.1146963380970125e-07,1.580730962918704e-07,9.605334676864476e-08,2.85826089865776e-07,3.1158425591062963e-07,3.2333755503738317e-07
F0,S5,9.26839779118849e-08,8.25967088639246e-08,5.9285234531085714e-08,3.4265781154489125e-08,4.814147636443012e-08,6.179971919719885e-08,1.1985254240356706e-07
F0,S6,9.439696423572242e-08,7.136497783274e-08,4.826665067598359e-08,2.6548987304970137e-08,3.8400758826449706e-08,6.0209408857957e-08,7.935655762736207e-08
F0,S7,5.682658318641898e-08,6.421796875713492e-08,6.38493581408188e-08,2.326838014376557e-08,4.428647150738857e-08,3.8758940559324393e-08,1.1910387748366297e-07
F0,S8,2.729924364733838e-07,6.99328899331408e-08,4.8288975341698714e-08,2.4002588186633904e-08,4.3182333703397666e-08,8.653746285708682e-08,8.356236175555393e-08
F0,S9,1.0858574081951036e-07,8.237192602535646e-08,4.628418978492512e-08,4.3391082855502854e-08,3.9911705908710686e-08,6.983136232475114e-08,1.0259976251113967e-07
F0,S10,6.201573690484189e-08,4.862469202721162e-08,3.487874520762259e-08,2.009194738296687e-08,2.8751018689661313e-08,3.979488468696195e-08,6.269506575160909e-08
F0,S11,6.715811864484587e-08,5.356984383678448e-08,3.620102068151422e-08,2.0483804817095432e-08,3.011125791243704e-08,4.571056220443136e-08,6.819960882168354e-08
F0,S12,9.904667686850559e-08,1.0138101455828766e-07,7.724188762121724e-08,4.3107878578213885e-08,8.361583012629287e-08,6.97818376654288e-08,1.688647599732712e-07
F0,S13,5.89069529891839e-07,2.2222362856443903e-07,1.3657892136237385e-07,1.1266457206758107e-07,1.3748725002505275e-07,3.1014327526339915e-07,2.1733387009882414e-07
F0,S14,9.987337964982333e-08,6.640121042618317e-08,5.186683405373049e-08,2.4760050399420796e-08,3.837694232841193e-08,5.346151644764095e-08,8.788734865162278e-08
