,0
W0,3.2372327041230164e-09
W1,1.6298373761713947e-09
W2,2.289714728931358e-08
W3,6.020427489872304e-09
W4,4.538605602455448e-09
W5,5.9492410331429824e-08
W6,2.8939644014513988e-09
