,0
W0,2.1211484790839563e-09
W1,2.589013448073274e-10
W2,6.081505299349033e-10
W3,2.801590293088907e-09
W4,5.4185874232004494e-08
W5,2.699521262083948e-08
W6,1.1104223873736885e-08
