,,W0,W1,W2,W3,W4,W5,W6
F0,S0,4.729413255773487e-08,1.0465992827044206e-07,6.967583037447516e-08,9.494904559053918e-08,4.385929697646018e-08,1.2026815601051992e-07,2.3041649818018223e-08
F0,S1,4.845035904500268e-08,5.579121937234525e-08,4.42481309937052e-08,9.19656552009384e-08,3.945183351389321e-08,8.213552122461319e-08,2.26738180469392e-08
F0,S2,3.591341384388853e-08,9.006653431048167e-08,3.650885970975015e-08,6.962673365032249e-08,3.3089406739356104e-08,1.0080001959539913e-07,1.730953270615212e-08
F0,S3,8.163789714567561e-08,4.194034060386892e-08,2.986265110229019e-08,7.334065069524693e-08,6.059715262079679e-08,1.4429492023825317e-07,1.850698824963417e-08
F0,S4,6.408201107687104e-08,4.547258765159451e-08,5.116323186155529e-08,3.0172373652183554e-07,5.3935605615389e-08,8.57753594933788e-08,3.493226587765391e-08
F0,S5,5.603053676170858e-08,6.142621524652698e-08,3.712980549828137e-08,8.283144185997629e-08,4.6340683991168804e-08,1.4676343687244862e-07,1.9207920510101968e-08
F0,S6,4.837010493876466e-08,5.5905629818830584e-08,2.732321055357302e-08,6.063580366319819e-08,3.450774864731119e-08,1.2438505838288304e-07,1.5633205263414972e-08
F0,S7,4.421354250129856e-08,3.4475980292144923e-08,2.7849066762422076e-08,6.25133853709928e-08,3.129136112090023e-08,6.56307311798858e-08,1.7532816961214074e-08
F0,S8,5.399304853098193e-08,4.979291136735185e-08,4.0950741725270175e-08,6.277881480907787e-08,4.042220248998362e-08,8.406074786008164e-08,2.090070739652847e-08
F0,S9,425.8485596332609,4.641236752705049e-08,3.314380823728557e-08,1.2610441936594273e-07,167.85230563060645,128.1442096334123,2.7038288411242952e-08
F0,S10,7.192003527438211e-08,4.002429604130027e-08,2.6641389493860464e-08,5.942882285505101e-08,5.495963396038302e-08,1.6080599781126445e-07,1.6342045735121968e-08
F0,S11,17.188111399979242,1.1288316833914029e-07,1.1898126262220415e-07,3.029136828567414e-07,14.363102639744936,28.965681758817606,7.06454117063311e-08
F0,S12,4.166120249534004e-08,5.43137253269475e-08,2.7779537816068426e-08,5.703552111177588e-08,3.225408987930756e-08,1.1400309550609642e-07,1.533419162708983e-08
F0,S13,3.554026171333985e-08,3.119848866422594e-08,2.7916310894161215e-08,6.900728497099769e-08,2.7608269174861284e-08,5.920283457075101e-08,1.6753877669749262e-08
F0,S14,4.1293867812499566e-08,3.274194782571544e-08,2.9307377095805237e-08,7.551077243368908e-08,3.258885038208333e-08,6.300934031252582e-08,1.7660366027937583e-08
F0,S15,5.6055506687929836e-08,3.939258539872753e-08,3.068716179479091e-08,7.530874989391897e-08,3.65777966428996e-08,8.42081635415203e-08,2.507642853138174e-08
F0,S16,5.067562067330044e-08,2.459036683135527e-07,5.2042287676014725e-08,9.149479242218392e-08,4.357511752781062e-08,1.5858262093008208e-07,2.4984409355386456e-08
F0,S17,6.344063187524645e-08,1.3763581191729844e-07,4.4239145150283285e-08,1.2215108659832657e-06,4.951755367589125e-08,2.443411202878078e-07,7.690750722772597e-08
F0,S18,3.9254907347508114e-08,5.98723789913856e-08,3.856650192682667e-08,1.0263278437345831e-07,3.298148836536291e-08,8.467593186203963e-08,2.2142610572540694e-08
F0,S19,4.2689189420795714e-08,4.7271549979050404e-08,4.347971101571687e-08,1.1142974846020008e-07,3.509969612370404e-08,8.133209803713062e-08,2.0610522157648444e-08
F0,S20,4.31837676741193e-08,5.22842452025942e-08,3.518140499460351e-08,8.538893157085431e-08,3.4440470181177866e-08,8.757746267632104e-08,2.3293976325382468e-08
F0,S21,3.8872937004007845e-08,3.6784513509450284e-08,2.8906114145008167e-08,5.88019569732354e-08,3.0708754742578355e-08,6.560507302212918e-08,1.510201070403143e-08
F0,S22,4.72444135994783e-08,3.848158928670965e-08,3.0683247029663875e-08,8.141564815257381e-08,3.3912626153454346e-08,7.229159123518596e-08,1.9948899058148014e-08
F0,S23,4.5717937786838395e-08,3.26065446426075e-08,3.084724545393728e-08,6.053129076786795e-08,3.192421863219012e-08,6.117552105453884e-08,1.704040963304625e-08
F0,S24,4.491063235939904e-08,3.810849219448998e-08,2.5699544131226446e-08,8.12534684869789e-08,3.015856405204118e-08,7.609822747800953e-08,2.047763376300452e-08
F0,S25,4.040439082011615e-08,4.572239056829378e-08,3.408456468032357e-08,6.699068097546798e-08,3.3527141385755535e-08,8.283676544423954e-08,1.7717899560192467e-08
F0,S26,4.957464044787952e-08,2.4612093588486555e-07,9.19397525913021e-08,9.626928838187832e-08,4.450346654477377e-08,1.9824438975093507e-07,2.3071674894069013e-08
F0,S27,7.974975736422737e-08,3.533653828464782e-08,2.8537576271984828e-08,5.913908255741229e-08,5.7032245906533286e-08,1.1289752130737161e-07,1.705956973537286e-08
F0,S28,4.1763228481227225e-08,3.746124758593064e-08,3.0527413008858286e-08,6.28822314675648e-08,3.3321092574012286e-08,7.851763501768994e-08,1.608889424145197e-08
F0,S29,8.249546921877166e-08,6.490935276019172e-08,3.2612976716525156e-08,7.390753557316565e-08,6.033449581917247e-08,3.6101790905305637e-07,2.0123287407932004e-08
F0,S30,4.6310534435961724e-08,3.957244751256725e-08,2.74766828882112e-08,1.5261649883794262e-07,3.091146004438493e-08,7.498922251130479e-08,2.3371182810087848e-08
F0,S31,3.847503755436874e-08,3.4395743162640775e-08,2.771578750523759e-08,7.566497985275688e-08,2.7938765187566864e-08,5.9163964509973095e-08,1.955891209563221e-08
F0,S32,4.139621147759852e-08,5.100139593083068e-07,4.622024491085703e-08,9.876896232384986e-08,3.4712144596517215e-08,2.1512216194428987e-07,2.469589452357748e-08
