,0
W0,1.664107740495524e-09
W1,2.003705645847731e-09
W2,5.4063723498032346e-09
W3,1.875022137554083e-09
W4,9.996806715761863e-10
W5,1.233897317653998e-09
W6,7.2064498812807196e-09
