,,W0,W1,W2,W3,W4,W5,W6
F0,S0,7.223666728403136e-08,5.331397404613322e-08,1.0275675289117214e-07,2.664789291186962e-08,1.0080465172181732e-07,1.4443194382880923e-07,6.721165799088751e-08
F0,S1,6.205191048536736e-08,2.6411794760725917e-08,5.77482576124189e-08,1.9304106809256637e-08,7.446297236115644e-08,8.119937659823657e-08,3.904365755117543e-08
F0,S2,1.9382946346030321e-07,1.4903286967315448e-07,1.3650308590085205e-07,3.417310709609777e-08,4.191603837829962e-07,3.427076969093673e-07,1.7756179413117322e-07
F0,S3,9.215812868306359e-08,1.2100541250944487e-07,1.6285106353966488e-07,3.839022053759908e-08,1.3318556272722205e-07,2.193191502279495e-07,8.20294471869064e-07
F0,S4,7.499608383831956e-08,3.580015444620738e-08,6.664126340514292e-08,1.952443515030223e-08,8.842782639299567e-08,1.0868603888044229e-07,4.716037667147037e-08
F0,S5,7.779355087521401e-08,3.751470222740154e-08,6.793799559357614e-08,2.156746140982858e-08,9.532438726730741e-08,1.228983006487374e-07,4.7730604653480835e-08
F0,S6,718.7071570822143,1.3133229419304366e-07,1.429716809502833e-07,4.2658243300920014e-08,389.86538434762144,325.6075803637045,7.293836885481691e-07
F0,S7,2.413557109023901e-07,3.966058361500008e-08,1.3340802074010054e-07,3.564942189203537e-08,4.549239130462069e-07,1.7545920960969662e-07,1.1338321312673776e-07
F0,S8,6.771264426879881e-08,3.984089942207933e-08,6.163032465681338e-08,2.098041065153522e-08,8.428015222341455e-08,1.1180497088331309e-07,4.598190210748016e-08
F0,S9,9.162519430494529e-08,2.7978661366939685e-08,5.097285984784635e-08,1.6026143330639374e-08,1.0263238870406656e-07,1.1293494013775492e-07,3.837119537705431e-08
F0,S10,1.1205149045807471e-07,5.23821621025684e-08,6.533727743638523e-08,2.0187350224577544e-08,1.0615943029723948e-07,2.2021308144872094e-07,6.451618255110501e-08
F0,S11,8.53119016488514e-08,3.417498826141689e-08,6.913738896026797e-08,1.920840372107525e-08,1.1190467046916452e-07,1.207112399659863e-07,4.447879213902229e-08
F0,S12,1.0417992640640386e-07,5.265405828520898e-08,1.2944937792057187e-07,3.317455506613661e-08,1.5944885648186772e-07,1.3548364227341831e-07,1.0886243275513706e-07
F0,S13,6.802795238481027e-08,4.246943083436949e-08,7.87881590725023e-08,2.3592405140371055e-08,8.486671059298625e-08,1.0383693981046578e-07,7.330219443150829e-08
F0,S14,1.317998303585078e-07,3.6060033185557516e-08,7.047736434602818e-08,2.646158240088047e-08,1.346434650769559e-07,1.4235149002121e-07,6.198604301020552e-08
F0,S15,1.200593158329887e-07,3.821557535772961e-08,7.465161404338991e-08,3.488671752570615e-08,1.1808641035187204e-07,1.2833161932031738e-07,5.542407847029516e-08
F0,S16,91.93117178834488,4.022596641798661e-08,1.0580164194640772e-07,1.1283183197630654e-06,3.3342097971901353e-07,2.0517320368157822e-07,1.7905295557490895e-07
F0,S17,2.2968012951760222e-06,1.0569254161725624e-07,1.610673561810944e-07,3.9860683145091586e-07,3.793638521801044e-07,5.829789794781415e-07,3.292717391051474e-07
F0,S18,9.272554809744708e-08,3.7485221998281806e-08,8.769547939995138e-08,2.4851651379120613e-08,1.2943985447322714e-07,1.266799140959625e-07,6.214936338330001e-08
F0,S19,9.042050338855153e-08,3.4794350258287946e-08,6.885764181844463e-08,1.8702223040465744e-08,1.129688627472869e-07,1.1471182839234751e-07,4.23431033101161e-08
F0,S20,5.984024943364205e-08,3.4644234794900694e-08,6.65777872360319e-08,2.0775207449888023e-08,7.758330038587052e-08,9.896820963465543e-08,4.667134545556568e-08
F0,S21,9.341198654978866e-08,9.55855412672052e-08,1.3354423032376422e-07,3.21599383969934e-08,1.1836039941251292e-07,2.7710254518644474e-07,7.986334671966692e-08
F0,S22,5.914830843051599e-08,2.8180872035557234e-08,6.253083500982499e-08,1.842729688098666e-08,7.608701842829821e-08,8.305291764043241e-08,4.709426392240659e-08
F0,S23,5.490698188971476e-08,3.562481976854259e-08,7.167017108051869e-08,1.7288178466542984e-08,7.860583586391053e-08,9.458188701084059e-08,4.775454148087389e-08
F0,S24,1.7313679861018973e-07,3.0953404338374e-08,7.259722716768603e-08,3.0085318027006147e-08,1.7442077544246788e-07,1.2038176852208935e-07,7.292526289435889e-08
F0,S25,6.3675752930543e-08,2.9694915928861996e-08,5.445058255861905e-08,2.0423503750877355e-08,7.442389264377241e-08,9.31537553602509e-08,3.978698841349573e-08
F0,S26,6.846372885163395e-08,4.096241687516502e-08,7.94492457191174e-08,2.1364676858639323e-08,9.761110846319886e-08,1.1214277932788249e-07,5.5838922565807675e-08
F0,S27,1.4480369107588443e-07,4.9460249399871513e-08,9.231043118891553e-08,2.922694434387167e-08,1.4592949511903574e-07,1.474409878548356e-07,6.091399759391344e-08
F0,S28,9.900057344078004e-08,786.3990504218783,5.812961067518247e-07,196.88682722121956,1.8645681133137233e-07,231.96173434288718,91.32156984674548
F0,S29,133.3872647643066,1.2415494409523925e-06,79.73910257736658,2.970133894609961e-07,120.52755783635318,22.892836727955466,101.83125365660612
F0,S30,8.14606596292133e-08,4.040429292858346e-08,8.360833094963076e-08,2.6343221589325142e-08,1.087041412522428e-07,1.129022614886826e-07,7.408802353278894e-08
F0,S31,2.0743364212742523e-07,6.861865440267392e-08,1.0677394722437452e-07,2.154243572115735e-08,2.7828450422436516e-07,3.7116689722639446e-07,1.1560594796253588e-07
F0,S32,1.463369613528413e-07,4.045586674583652e-08,7.938939122132882e-08,2.0345192306381256e-08,1.710581558163258e-07,1.6003964870967702e-07,5.334785160271785e-08
F0,S33,7.694308901015784e-08,4.189372726555851e-08,7.338466966620454e-08,2.5191602280423512e-08,9.356196622328126e-08,1.3766992076336472e-07,4.938021779158901e-08
F0,S34,3.0695817116960535e-07,7.057499801368694e-08,1.2520721454294764e-07,2.8706513790027554e-08,5.099572444878334e-07,2.697036590955182e-07,1.1040542585032041e-07
F0,S35,1.7697669994829852e-07,5.415255418870457e-08,1.7529220210306244e-07,9.814534534338498e-08,2.8573900592617484e-07,1.7932714461053158e-07,5.9488017394686965
F0,S36,1.6969447091730743e-07,7.067035183029243e-08,3.69167936003702e-07,3.0470787398878704e-08,3.817617661211057e-07,1.6547952273138218e-07,2.1496621720676735e-07
F0,S37,1.463048825829871e-07,3.103206141208825e-08,6.212367815615544e-08,2.3482565502571127e-08,1.379159149907465e-07,1.4826872422905628e-07,4.551603118128985e-08
F0,S38,5.9825521587032e-08,2.839768614259799e-08,6.338450461548414e-08,1.9928304544704868e-08,8.389143430333741e-08,8.83026620860534e-08,4.211556665571209e-08
F0,S39,1.0239760834187642e-07,3.505619031331103e-08,1.1178630176039496e-07,2.469265424497156e-08,1.551450968801522e-07,1.2108768354511215e-07,6.574607605608604e-08
F0,S40,6.534074783332757e-08,5.646553129017351e-08,1.0779536611667061e-07,2.3218099478704348e-08,1.0289617224245609e-07,1.1637479414780876e-07,6.700350401341079e-08
F0,S41,7.738040971426848e-08,3.031013146228136e-08,5.5716008297764027e-08,1.9925855469741556e-08,8.764882684670909e-08,1.0876054989415443e-07,4.217008146161482e-08
F0,S42,7.939187103589811e-08,2.9480719254195746e-08,6.694029691920868e-08,1.9201109440275453e-08,1.025261320130332e-07,1.015444995989806e-07,4.554497038253808e-08
F0,S43,1.501749889537546e-07,4.26287541585046e-08,7.158152814431957e-08,2.0827758061192445e-08,1.7652428361854715e-07,1.6172484136455076e-07,5.7830211772716824e-08
F0,S44,7.317064974338244e-08,9.197053715176481e-08,1.2117196961289148e-07,2.4719713155864104e-08,1.0448410208699556e-07,2.0979921712216188e-07,8.054699558687119e-08
F0,S45,7.476196051309613e-08,3.1933846884753406e-08,7.41430948011471e-08,2.1755196843688284e-08,9.812372876811788e-08,1.0668059711692781e-07,4.522119903182466e-08
F0,S46,9.251163213424615e-08,4.7978506873580724e-08,8.818809365996869e-08,2.5024768435200115e-08,1.2244237168696294e-07,1.4730480565395064e-07,5.7247785209126914e-08
F0,S47,7.307946331157112e-08,3.6810105010371654e-08,8.638183458593832e-08,2.1983541981629695e-08,9.890948066649605e-08,9.811758904292429e-08,5.688177798068463e-08
F0,S48,8.415989469455775e-08,3.822434707267423e-08,9.93912080887716e-08,2.02296708285777e-08,1.2916046419885866e-07,1.18174123826758e-07,6.060939963404865e-08
F0,S49,1.9534892709177884e-07,3.8530040301972336e-08,7.868489716535844e-08,1.913908743777987e-08,2.5532930793911445e-07,2.113088981290045e-07,5.391041683636501e-08
F0,S50,7.512412354030489e-08,3.547690795092798e-08,8.448228608456547e-08,2.365121806947395e-08,1.0768714818948963e-07,1.0984628648916994e-07,5.7339340433635795e-08
F0,S51,8.044892458481662e-08,5.6690155540839735e-08,1.2007974338038637e-07,2.0903701156735106e-08,1.646299194680278e-07,1.3442019323206267e-07,7.32763209965372e-08
F0,S52,1.3278047241377522e-07,4.360112840796319e-08,8.739873701539852e-08,2.06206360998444e-08,1.923969633168581e-07,1.4899135808501687e-07,6.155836463700271e-08
F0,S53,5.89389522930925e-08,5.6605573027723935e-08,7.918834123985914e-08,2.415845280536706e-08,8.039963457197746e-08,1.230554334276266e-07,6.31619341693561e-08
F0,S54,5.8858885285887355e-08,2.987682195701113e-08,5.817414330114767e-08,1.8385998311705808e-08,7.937829093673557e-08,8.956935968040405e-08,4.085468608064612e-08
F0,S55,7.056812912496885e-08,3.232092933771763e-08,6.285847873275029e-08,2.052841881134396e-08,9.485417264666718e-08,9.654740158546188e-08,4.478178657090352e-08
F0,S56,2.2111299771503143e-07,2.5584005763182447e-07,3.340041689025477e-07,4.7171746364477164e-08,7.842619663544319e-07,78.54889525590815,2.669135959395535e-07
F0,S57,7.365480557871282e-08,1.2571094008484843e-07,9.657119621998861e-08,2.3720718714395423e-08,1.0272976967651856e-07,3.2232462233886424e-07,5.070588055418302e-08
F0,S58,5.6408286709840605e-08,3.004752010760761e-08,5.899804658125362e-08,2.090073306773145e-08,7.150949973636615e-08,9.345316053759382e-08,4.085984853384244e-08
F0,S59,7.669487293419191e-08,3.6502346544412423e-08,9.403023540288407e-08,2.1080981670549542e-08,1.0347696670074193e-07,1.1027686404281041e-07,5.31661639436038e-08
F0,S60,1.2248333303251835e-07,9.717852841863649e-08,28.894076549639994,2.8928589413134846e-08,7.32410505514951e-07,1.6583333368008407e-07,2.027152334289251e-06
F0,S61,3.4439908432278673e-07,1.1022647030028297e-07,3.916346920701511e-07,5.711573431917685e-08,3.827830025562011e-07,3.315740213801457e-07,8.897693863251713e-07
F0,S62,2.854569177403194e-07,4.000129592063298e-08,8.065641703833537e-08,6.957240392494585e-08,1.4942086970538757e-07,1.6158388382874521e-07,7.988536219886045e-08
F0,S63,6.178902601471262e-08,2.7695666200765627e-08,6.223916192116778e-08,1.9353838618453848e-08,8.045319166483972e-08,8.107915736743154e-08,4.3150167369646266e-08
F0,S64,1.3512775638545548e-07,3.5558232754093456e-08,6.52167429925219e-08,2.5058103050906983e-08,1.1762975866174298e-07,1.343086944015836e-07,4.704366094032425e-08
F0,S65,7.676306317248567e-08,4.116716194145933e-08,7.02737487861602e-08,2.1896673568927433e-08,9.756805088276352e-08,1.2017395821722547e-07,5.729441700564691e-08
F0,S66,7.244521782966631e-08,4.071744905793366e-08,7.16927636851772e-08,2.2050246836020415e-08,9.48419941158772e-08,1.1435067689978644e-07,5.530419815808095e-08
F0,S67,9.387385190309717e-08,1.7477503685700014e-07,1.2284856876372534e-07,3.363726968493378e-08,1.3246980770212097e-07,4.618652093002021e-07,9.07080607369509e-08
F0,S68,1.1212206849346963e-07,3.237373408156415e-08,5.469707287354831e-08,2.1355483586599095e-08,1.020363695029845e-07,1.213698933806828e-07,4.088764591527867e-08
F0,S69,1.8164448911126382e-07,8.784594274385167e-08,1.8884167093343694e-07,5.2047779505771436e-08,2.2273711047236202e-07,3.1623106651694815e-07,1.7257990988789275e-07
F0,S70,1.0098249755056815e-07,4.5229068438800074e-08,1.131490240753662e-07,1.8739010782650853e-08,2.2642199711903998e-07,1.6330767105963672e-07,5.771660012749588e-08
F0,S71,1.0167124370128061e-06,4.389285805588201e-07,1.8454628566393607e-07,35.58872660653794,9.047820611927016e-07,260.44642317558305,3.3585144837218253
F0,S72,8.540984586304402e-08,8.625326348994814e-08,1.0902139039992076e-07,4.7211611037855204e-08,1.1233494596217717e-07,2.931732449689716e-07,1.4035557126476974e-07
F0,S73,6.914244554345916e-08,3.2233962100705266e-08,6.100502982428859e-08,1.9763573296302002e-08,8.322383722727642e-08,1.0015110976808584e-07,4.331373881253946e-08
F0,S74,9.247752223309267e-08,3.949318951362418e-08,1.4578856573656764e-07,2.4942047387267782e-08,1.6497280818387973e-07,1.264873692784349e-07,6.27368778754306e-08
F0,S75,9.789306231634232e-08,3.708953137526206e-08,1.2050004039791817e-07,2.994498147723482e-08,1.8043865557227448e-07,1.166127207994782e-07,9.824009329675698e-08
F0,S76,1.1131832370270132e-07,3.3742735761417145e-08,7.931978437798577e-08,2.4053234830271448e-08,1.4780767751590915e-07,1.2544489575228555e-07,5.4527676409736643e-08
F0,S77,7.698212398663212e-08,4.4345113889664166e-08,9.063806919828313e-08,3.482881802742927e-08,9.468271476648928e-08,1.2402466228644e-07,8.226296242127036e-08
F0,S78,6.62223605391574e-08,2.8796165451583193e-08,6.74723504793166e-08,2.347315115983462e-08,9.249835709455378e-08,8.518840868626369e-08,5.5695020866757575e-08
F0,S79,1.6257651982856293e-07,1.7410623908463583e-07,168.1656712393369,71.44497041944541,2.8165548733239714e-06,3.3904675702565027e-07,143.05071681372584
F0,S80,1.1443526309651405e-07,5.039568252619497e-08,6.968771327835915e-08,3.087914690796204e-08,1.0411462715912664e-07,1.8598482997391358e-07,5.915332939492268e-08
F0,S81,6.376309621182223e-08,4.0552313485951936e-08,9.677092355902887e-08,3.159080157838307e-08,9.367192331643964e-08,1.0373870333955922e-07,1.0036671684824372e-07
F0,S82,7.537103902859132e-08,7.437282631481361e-06,2.63844031505434e-06,6.35932417437048e-08,1.5706259476778202e-07,2.5017727991243666e-07,40.272277100128875
F0,S83,7.70337227507667e-08,5.105464296252015e-08,1.285452344314983e-07,2.064457553629369e-08,1.3164009712298187e-07,1.3648943986703082e-07,6.31426417271073e-08
F0,S84,9.002982677949133e-08,5.7722268242885895e-08,6.558169098413485e-08,2.132309861628647e-08,1.0478186570862054e-07,1.685469976260461e-07,4.9120558684917126e-08
F0,S85,1.7913708324903423e-07,4.6386728948730763e-08,8.842733834699976e-08,2.5700681067904352e-08,2.0407928063001378e-07,1.748493601479135e-07,1.0198373776337815e-07
F0,S86,42.050614696247905,1.6714719714939015e-07,9.273175288139416e-08,2.992224553128875e-08,2.603370312859261e-07,24.088324927689325,6.076437830507276e-08
F0,S87,8.599222998395497e-08,5.980924634168701e-08,3.489143691124911e-07,2.797990062702655e-08,1.503664460657512e-07,1.4949945494056454e-07,1.1663783018652478e-07
F0,S88,1.323175448520512e-07,3.6996342944506e-08,1.1918103613031868e-07,8.732874698825694e-08,1.4866625255583623e-07,1.219804029523107e-07,1.7123653022063975e-07
F0,S89,1.050949016415619e-07,3.33699528469396e-08,7.216031758202051e-08,1.715628486285624e-08,1.4561286724536704e-07,1.1941530044071613e-07,4.370602269877891e-08
F0,S90,1.1672345850158112e-07,4.211577309264209e-07,2.3269083351400842e-07,5.926893175287452e-08,1.6369317082178506e-07,7.856955495935721e-07,2.245301862459868e-07
F0,S91,4.162240424846936e-07,1.05436960383232e-07,6.165564411711404e-07,2.7196699928429646e-08,27.36866829519158,5.232672122311958e-07,1.6793823197262392e-06
F0,S92,6.424241785799893e-08,3.994336063880337e-08,6.848633619530107e-08,1.946214797968129e-08,8.304381607692299e-08,1.1713060064192445e-07,4.541398137724626e-08
F0,S93,1.0225215806307549e-07,3.3033444489526775e-08,8.457321767868031e-08,2.3534931542875423e-08,1.1789799496782716e-07,1.052041132373531e-07,5.5850856731953194e-08
F0,S94,2.732445900399169e-07,5.0113189385983105e-08,7.234792352889853e-08,2.6663096354694275e-08,2.0419866650875795e-07,2.277795145839368e-07,6.411617674510225e-08
F0,S95,1.3057628243532754e-07,7.069371255135503e-08,7.045312399225113e-08,3.150297497390258e-08,1.219429943627636e-07,1.642556861278899e-07,5.117017102422596e-08
F0,S96,6.566450941326222e-08,6.503103660464753e-08,1.2530672277177187e-07,4.578288845291804e-08,1.1004511707292897e-07,1.0655095678643516e-07,1.137024166289255e-07
F0,S97,5.575344238440519e-08,3.483738194019845e-08,7.525164433886899e-08,2.0622516008120727e-08,7.960938172943795e-08,9.820234566120631e-08,4.483478232227345e-08
F0,S98,1.0100547781260771e-07,1.3657939873234345e-07,1.2238930657182352e-07,4.12829536599945e-08,1.5165953086328395e-07,1.7466908007488193e-07,7.937103054973625e-08
F0,S99,1.8731468951736785e-07,8.007553073506443e-08,7.6494661452692e-07,50.245515620756905,8.393481534443566e-07,1.849402281389112e-07,1.9053481694703347e-06
F1,S100,4.451401758013349e-08,2.184273635334028e-08,4.2265119736951814e-08,1.4303367841370056e-08,5.352666063499522e-08,6.44959701043948e-08,2.797882079159638e-08
F1,S101,9.973230445828959e-08,3.708570416532255e-08,1.108121026906867e-07,1.8834421366440436e-08,1.3725766920211637e-07,1.2546119282064744e-07,5.3486443210352e-08
F1,S102,7.858809078045533e-08,8.512588451861593e-08,6.616549259015596e-08,1.8963413256481433e-08,8.751998921103425e-08,1.6527621382392479e-07,3.699740304989574e-08
F1,S103,1.0011170183475696e-07,3.0266673136419157e-08,6.023329528641225e-08,2.5963888487967132e-08,9.571349896606339e-08,1.1737644482157721e-07,4.6471618946622957e-08
F1,S104,6.333016022870736e-08,1.9707948556219943e-07,1.2029157522434768e-07,4.765877950944581e-08,8.914891159942523e-08,1.9931160314159608e-07,1.1128259482202258e-07
F1,S105,9.147677715631702e-08,4.471799174358663e-08,9.767685401967522e-08,3.162570053092212e-08,1.1592472119391731e-07,1.1393196908094542e-07,5.350817168233044e-08
F1,S106,1.769545554012718e-07,3.024290258715892e-08,6.835607024899719e-08,2.518840287374137e-08,1.3113434785970996e-07,1.3584587515065106e-07,4.693112453050165e-08
F1,S107,7.195350161488697e-08,3.444636001484075e-08,7.11863813171198e-08,2.025608096225054e-08,8.841019470732857e-08,9.85264951749433e-08,4.575105020892712e-08
F1,S108,9.16550778198907e-08,3.615880076877688e-08,6.397720398483535e-08,2.1696936682420073e-08,9.958455855938262e-08,1.1309967036490053e-07,4.426839171550591e-08
F1,S109,8.905612226355833e-08,3.065086451668045e-08,9.835232320623325e-08,1.864908042086997e-08,1.0887999794290344e-07,1.0190296732292919e-07,5.0364498630398044e-08
F1,S110,5.003734076519739e-08,2.110203611005677e-08,4.208526045544664e-08,1.410892138390915e-08,5.803299497127942e-08,6.787276705259284e-08,2.7418561288746915e-08
F1,S111,4.57298270646359e-08,2.153749067536546e-08,3.809617491588237e-08,1.2767005904862409e-08,5.1913193898407436e-08,6.611027525383159e-08,2.4533770802730096e-08
F1,S112,6.980160467821425e-08,2.5804261946941163e-08,5.704263939426538e-08,1.5491584265685927e-08,8.111887914464983e-08,7.99035821884931e-08,3.5255512838607476e-08
F1,S113,5.084461082598145e-08,3.100502549711931e-08,5.501925996082508e-08,1.6587280255560274e-08,6.588054463501366e-08,9.30433709479781e-08,3.395981899664079e-08
F1,S114,8.303654198518736e-08,2.9386071131619853e-08,6.156141474007632e-08,1.7388780923725852e-08,8.625892296118191e-08,9.667566311659428e-08,3.6556385851709674e-08
F1,S115,4.772523353381215e-08,2.259811080998382e-08,4.4095584417619814e-08,1.4972989242141177e-08,5.6333494222294914e-08,6.817312212981273e-08,2.980386656214893e-08
F1,S116,4.982467814448425e-08,2.29801965266685e-08,4.543774990336958e-08,1.3676935326899324e-08,5.9499705944564925e-08,7.077211194099847e-08,2.8628215231659576e-08
F1,S117,1.8215960244406102e-07,5.419567056327321e-08,1.2073449812239042e-07,3.607105014105091e-08,1.199723410366103e-07,2.4806529597185045e-07,1.8976050794090404e-07
F1,S118,4.90655661979638e-08,2.609695681778877e-08,4.491588011820676e-08,1.4612957261287596e-08,5.822653812312475e-08,7.575963414881108e-08,2.8670863180055718e-08
F1,S119,6.349650154688128e-08,3.5394231598185934e-08,6.531080779462569e-08,2.568726441896322e-08,7.606874737954963e-08,1.0105286754681225e-07,4.594257821130793e-08
F1,S120,6.454488973646464e-08,2.2218414168293172e-08,4.809631800321941e-08,1.6028783070072916e-08,7.420178210120376e-08,7.448737229033121e-08,3.1088399504728165e-08
F1,S121,5.483476586361979e-08,2.2435704461972257e-08,4.184984724254652e-08,1.328704936057708e-08,6.002287515557744e-08,7.453105735503594e-08,2.813923249210983e-08
F1,S122,1.1065802820891223e-07,2.386199935706486e-08,5.362605686351274e-08,2.5352222332215817e-08,8.852145312933766e-08,9.483245658760798e-08,3.802052578879151e-08
F1,S123,4.0809701056414773e-07,15.054133790835854,465.1393791285341,2.048116650736812e-08,273.81015561999965,27.17062626588848,19.809431946244715
F1,S124,5.460865645164579e-08,2.851625221099329e-08,4.7987523965566383e-08,1.478138861617206e-08,6.708450524475495e-08,8.678419925794382e-08,2.8894084018486508e-08
F1,S125,6.338216772532956e-08,4.321477443685956e-08,7.989112927673894e-08,2.3944767140617676e-08,8.823046093883829e-08,1.1149031269425606e-07,5.067249889966164e-08
F1,S126,6.05752687024304e-08,3.2751419412204565e-08,5.811527507996969e-08,1.4787872257790145e-08,7.600669716038602e-08,9.389341265497182e-08,3.461123630232783e-08
F1,S127,2.0042076940360485e-07,9.486537185573978e-08,4.010350355812847e-07,3.7511864331255833e-08,3.695648238332713e-07,2.829814070187396e-07,2.413216675593049e-07
F1,S128,5.556382868190868e-08,3.596831502710578e-08,6.723472135913918e-08,2.0903937840362817e-08,7.475915156525331e-08,9.250889984103285e-08,4.205365331275531e-08
F1,S129,8.983045024347473e-08,7.66420815416025e-08,1.76955417544246e-07,3.585244275015377e-08,1.6034425421050838e-07,1.791777832945996e-07,9.792330186224422e-08
F1,S130,7.101894805345918e-08,3.864019641249884e-08,8.490741120614163e-08,1.748557221985184e-08,1.0351610523257843e-07,1.2466625821246595e-07,4.61205441788989e-08
