,,W0,W1,W2,W3,W4,W5,W6
F0,S0,3.842768390513679e-08,3.700896505887909e-08,5.702963904713662e-08,4.962365264285948e-08,1.055124444913542e-07,9.670916858032879e-08,4.058551122881685e-08
F0,S1,508.51528817510825,1.0175323196906087e-07,285.7230872450082,1.0805058367516519e-07,641.5201733159562,335.1954175808103,183.19851468976307
F0,S2,3.1483180465452475e-08,3.5958029584350126e-08,2.860291072082185e-08,5.0063070271289405e-08,7.59550479994949e-08,8.580737824017776e-08,2.109483788219754e-08
F0,S3,5.853585893905886e-08,3.488137336506697e-08,5.919135473827045e-08,4.5216649120212184e-08,2.081856615150303e-07,1.4924001795042866e-07,3.183025639674539e-08
F0,S4,4.483017136815533e-08,2.882197765275665e-08,4.7651810745654956e-08,6.05073587889248e-08,1.0856879063032767e-07,1.026510320200634e-07,4.875138731428304e-08
F0,S5,9.90719676525371e-08,2.3115254928326865e-08,4.759685431776271e-08,4.63712755180531e-08,1.7956968691155654e-07,1.4065899568395475e-07,2.8762501108050213e-08
F0,S6,7.346368450164034e-08,5.93408720856068e-08,6.234653148531963e-08,5.095951987985987e-08,1.798452839886693e-07,2.696530877572717e-07,3.933097226170358e-08
F0,S7,4.285640098222938e-08,2.2284416360946676e-08,3.9767118753724856e-08,3.798913220115822e-08,9.568910548586814e-08,8.980403480292444e-08,2.602954373092307e-08
F0,S8,4.5555741556383724e-08,4.263880690994969e-08,4.280029117867589e-08,3.944803792573416e-08,1.0095461126138408e-07,1.1333479417671141e-07,2.6210633177688587e-08
F0,S9,3.5110351299016094e-08,4.250086282919809e-08,3.354058474586389e-08,7.960911582702522e-08,7.611720524220023e-08,1.0263320788375093e-07,4.035527565421584e-08
F0,S10,3.2784596633411234e-08,1.877493014025719e-08,2.7261546563939515e-08,3.60546453602821e-08,6.946339498297964e-08,6.810967242067458e-08,2.018338943215169e-08
F0,S11,5.8931077395100836e-08,3.238847104663862e-08,6.353977090775467e-08,3.634249086264737e-08,1.331971170579875e-07,1.3703451672875808e-07,3.1814762802235804e-08
F0,S12,1.1333041015585844e-07,279.6936027890037,6.617043696837945e-08,1.5398681113248788e-06,7.656670631592117e-07,384.28461599755093,5.718173661596552e-07
F0,S13,3.333757562869853e-08,2.6046177821378292e-08,5.027564142532133e-08,4.646296629850822e-08,1.0358177373428653e-07,8.047466923967222e-08,3.16836373057909e-08
F0,S14,6.71170614346862e-08,6.057168201381474e-08,2.1003472362030945e-07,7.936153539198955e-08,5.90015500364344e-07,2.688743377458053e-07,8.655873894855685e-08
F0,S15,4.1200295426092635e-08,2.3488433878643394e-08,3.835853747331897e-08,5.618130903021406e-08,8.924368475190646e-08,8.420706701650276e-08,3.4544835649981995e-08
F0,S16,4.087074272132895e-08,2.957974821138267e-08,3.205017239202741e-08,9.655072998828757e-08,8.967707526150919e-08,9.248490166259504e-08,3.0727061573490636e-08
F0,S17,1.503902435648735e-07,3.340632564273245e-08,5.612690169497947e-08,6.393938769553306e-08,2.8339768279076796e-07,2.634434546201112e-07,3.861609395440459e-08
F0,S18,4.5147571502742265e-08,4.1053457116923846e-08,4.2396511211925683e-08,7.847728420431421e-08,1.3107735214581144e-07,1.3011150039448016e-07,3.441263349460004e-08
F0,S19,4.3063206486025016e-08,2.4961638622400444e-08,3.375062889096986e-08,1.0832700744648541e-07,9.011623957675257e-08,8.876644436003767e-08,3.287445793055772e-08
F0,S20,6.9381202192364e-08,1.564539294058192e-07,41.23013664381952,5.692249951738636e-08,3.015059093407724,3.2239450867658335e-07,5.106002052937523e-08
F0,S21,5.5843457321353027e-08,7.935501828616117e-08,6.993630277731699e-07,9.097593847674775e-08,9.436038724809024e-07,1.800906699531285e-07,8.226309872830278e-08
F0,S22,3.6260730824963665e-08,1.94943640525633e-07,1.535108757167881e-07,4.8129318991313154e-08,1.9979779487323622e-07,1.3168129049875544e-07,5.32746894723631e-08
F0,S23,1.0618054345217034e-07,3.4842687596711463e-08,9.386122835591091e-08,5.0308844199212746e-08,3.8948614758883187e-07,2.1262800615481392e-07,3.9466314771847906e-08
F0,S24,5.4627378109767395e-08,2.3787726972894016e-08,3.142251776367454e-08,6.508744640185782e-08,8.230973198551197e-08,9.947634575476271e-08,2.756044021399977e-08
F0,S25,5.915812233535343e-08,3.177920459827134e-08,4.054231740155165e-08,6.55244049533977e-08,1.0472936613836516e-07,1.3212446642000554e-07,3.89166594146649e-08
F0,S26,3.632231752403947e-08,2.6052174790708346e-08,4.040996849464243e-08,4.3893930327467424e-08,1.0396309459185858e-07,8.384646681498455e-08,2.7509977391487142e-08
F0,S27,3.82001646324243e-08,3.993297029986784e-08,5.1650343997510034e-08,9.236272235696512e-08,1.2830843118464544e-07,9.944639266149947e-08,3.9329910918674365e-08
F0,S28,2.7695992073207863e-08,1.736043388874396e-08,2.5832304936671086e-08,3.327888356868239e-08,6.274321960632316e-08,5.948049749316845e-08,2.0031361230174733e-08
F0,S29,3.586138401092876e-08,2.0368559885124456e-08,2.992796809026713e-08,6.326561801226298e-08,8.014646227194127e-08,7.338716960842355e-08,2.8108258650414983e-08
F0,S30,4.510220013216629e-08,2.8576600364308877e-08,4.124755377666733e-08,4.1614621989188006e-08,1.1317987432780791e-07,1.0975408700549138e-07,2.744327450916712e-08
F0,S31,3.008624922276222e-08,2.278712660184465e-08,3.812413670624767e-08,3.208241737923166e-08,8.617106891691937e-08,7.032994112230428e-08,2.298317198835903e-08
F0,S32,4.460890901840236e-08,2.5266355838444222e-08,3.2130758707449164e-08,3.3536307507488414e-08,9.47019751819186e-08,1.0282068171129279e-07,2.0638059239762352e-08
F0,S33,4.3157373926497155e-08,4.666198724330878e-08,4.4018356125347005e-08,5.008784840197194e-08,1.1065416851385969e-07,1.1868633092124778e-07,3.186971775220112e-08
F0,S34,4.0669781892351744e-08,2.9152088023639548e-08,3.4025990932340534e-08,3.36963476382707e-08,8.559197192149652e-08,9.790226538538556e-08,2.2076627358508058e-08
F0,S35,4.240263106069524e-08,3.811569660060577e-08,4.535895049567392e-08,6.998727287411163e-08,1.0540564503166158e-07,1.108541580102037e-07,3.712817209190888e-08
F0,S36,7.364924333652093e-08,2.864050817557912e-08,4.0068534125075304e-08,4.6373838944892097e-08,1.5078413710709808e-07,1.7028489149419917e-07,2.743253150691536e-08
F0,S37,5.7330010721144443e-08,2.3006211543126676e-08,3.5900634968557863e-08,3.8012903974767617e-08,1.0363873754849512e-07,1.0171355707413786e-07,2.261586791902706e-08
F0,S38,4.406739398732545e-08,18.47197311159442,1.5793951988504066e-07,7.180960181240329e-08,2.1129823181347068e-07,1.979131537368766e-07,6.21710308538193e-08
F0,S39,3.316334558803578e-08,2.8069901728313363e-08,2.99901510146865e-08,7.693626928921391e-08,8.002764963492136e-08,8.620609680975856e-08,3.6627263279142145e-08
F0,S40,3.96538531884909e-08,1.7538705182565595e-08,3.525918745161582e-08,3.7501470098054205e-08,8.661574608182397e-08,7.456636710675164e-08,2.3925312628829198e-08
F0,S41,3.688670906869378e-08,4.103133603171251e-08,3.556926901711815e-08,3.5422341728434475e-08,9.492725035799012e-08,1.0068601461875037e-07,2.2661012175411528e-08
F0,S42,6.679340530360412e-08,7.841732065983534e-07,2.6692689720208474e-07,2.7300790176562746e-07,2.388572510977013e-07,1.8598857755355193e-07,1.4974748678855656e-07
F0,S43,120.46437166631456,9.074478446973969e-08,17.946711489457126,3.2835264248981803e-07,130.92022113497794,89.62551791370181,3.3669818747861227
F0,S44,4.1787367509552135e-08,1.9519085140270984e-06,7.509899561960498e-08,25.73643249887183,1.583900933424753e-07,1.7099571404037592e-07,2.9019547602573815e-07
F0,S45,9.708353658244296e-08,75.21801244124075,2.2978983771381117e-07,490.7811314411727,1.6572830269328578e-06,35.25141233512812,219.98087780184457
F0,S46,4.5060260539953915e-08,2.7966364062987276e-08,4.7808758716593245e-08,7.581050057486702e-08,1.2858394322070424e-07,1.0038511559696098e-07,4.1961187962221326e-08
F0,S47,2.9468150153048435e-08,2.6055158441630804e-08,3.110489694025566e-08,3.861042758509991e-08,7.316326028602043e-08,7.332087298221079e-08,2.499098204175098e-08
F0,S48,5.157718103894708e-08,3.334939390822493e-08,4.046354925738068e-08,4.283804563221472e-08,1.263114242938166e-07,1.3239609091241979e-07,2.806457961587846e-08
F0,S49,6.0922717779106e-08,2.713364658710692e-08,3.995438793402889e-08,4.220625373535176e-08,1.1949814623707918e-07,1.1697208618006353e-07,2.739451540955584e-08
F0,S50,83.20790683101126,2.64704882644247e-08,7.329027935757882e-08,4.810778136760322e-08,5.78140835153745e-07,4.615578302986914e-07,3.439773093959203e-08
F0,S51,6.904778200701489e-08,6.947283771880302e-08,6.445854001210558e-08,9.742067613016714e-08,4.031377700077916e-07,3.9174315049759006e-07,6.428439255473067e-08
F0,S52,4.9890957158064053e-08,3.17692512193837e-08,5.250838906081173e-08,4.5761613014030335e-08,1.4154365285960723e-07,1.20479043673474e-07,3.926029558503892e-08
F0,S53,2.7694109302946073e-08,1.780369548991383e-08,3.1041844609049476e-08,3.108090573404865e-08,6.49606225790518e-08,5.720231564936618e-08,2.1683357582411236e-08
F0,S54,5.414811424552573e-08,4.7156176435190684e-08,4.522048089684548e-08,5.656943659993387e-08,1.3289999868049504e-07,1.548476910372049e-07,3.835946812979595e-08
F0,S55,3.878363945354031e-08,1.755567087017303e-08,3.0422315046689936e-08,3.2698879646923655e-08,7.792520712410641e-08,7.553849844307168e-08,2.0434627076570565e-08
F0,S56,4.646463373427264e-08,4.080186466811709e-08,4.3475817353211756e-08,2.684457260688805e-07,1.2777690957058432e-07,1.2042940714853225e-07,6.043849818592535e-08
F0,S57,3.368517558669461e-08,3.757711749880807e-08,6.256986270484624e-08,5.571267518926005e-08,1.5866218450908552e-07,9.140779609383293e-08,4.2861133927532366e-08
F0,S58,4.430038571029883e-08,2.6354505890735966e-07,3.504706905332355e-08,1.1639093426421356e-07,1.0649170621055287e-07,2.1205401675596677e-07,4.577446008037447e-08
F0,S59,4.102354586542722e-08,2.6309046165315442e-08,4.248660378082677e-08,4.843352537267666e-08,9.719807006945854e-08,9.214218499178454e-08,3.41612934460265e-08
F0,S60,3.123015823765042e-08,2.2212843244549236e-08,4.281865584320555e-08,3.854302395309424e-08,9.02871260732319e-08,7.369145970944902e-08,2.5695038216050015e-08
F0,S61,6.570835228116238e-08,3.2563351355103146e-08,3.726901363267732e-08,3.6384860682172304e-08,9.617772872278363e-08,1.3320982715061283e-07,2.437450666020699e-08
