,0
W0,8.196739953447718e-10
W1,1.1171796820974578e-09
W2,2.1762796231783454e-08
W3,6.638590788199394e-10
W4,2.552878020090077e-09
W5,1.825820605816375e-09
W6,3.1484126417069547e-09
