,,W0,W1,W2,W3,W4,W5,W6
F0,S0,7.90712292629108e-08,490.3431837946581,2.3450494202294233e-07,3.918845145821351e-07,1.2721207725268317e-07,4.2864552171659874e-07,3.080963249537706e-07
F0,S1,8.28236846160272e-08,4.9264470362038857e-08,3.6472592141053504e-07,1.8460179501125318e-07,1.501646978897831e-07,1.1660207884659375e-07,2.984746662848952e-07
F0,S2,6.448476807061052e-08,1.826968575490851e-08,9.359055603592288e-08,9.565173278185376e-08,9.499515845722951e-08,5.908941841396143e-08,8.586612318101981e-08
F0,S3,1.3992240325578627e-07,2.4532797637127354e-08,1.3598036326012726e-07,1.0379875567363734e-07,1.9776905736647965e-07,1.2441047796570824e-07,1.1703742506656779e-07
F0,S4,1.0717356186141909e-07,7.86327680174795e-07,2.915218474381131e-07,0.4578805649343832,1.6184452974994629e-07,4.444702408432335e-07,2.482422888890824e-07
F0,S5,4.639523971934097e-08,1.0724979608751055e-07,8.049925150360779e-08,7.990663163721873e-08,6.57075173876367e-08,1.080282102769207e-07,8.442327356864207e-08
F0,S6,9.197618039157298e-08,1.6257636831758505e-07,1.8789267085562122e-07,1.2502756615733853e-07,1.4500416397294707e-07,7.174777384712628e-07,1.567627965091058e-07
F0,S7,5.4705650445829725e-08,2.5862313912874907e-08,1.7239092335092965e-07,1.693472946356909e-07,7.779729620928275e-08,8.880075494216573e-08,1.5557039559912367e-07
F0,S8,5.667143638199905e-08,1.4657215839463507e-07,1.152968606130323e-07,9.570456992321399e-08,8.540873524131652e-08,1.44103038774871e-07,1.0247642893465843e-07
F0,S9,6.694256951101785e-08,2.038704337816837e-08,9.315645212770247e-08,7.79428778411655e-08,8.823334129529993e-08,8.080924906786261e-08,7.943457138423604e-08
F0,S10,4.910889869310999e-08,1.9693754613575948e-08,1.0000456633058219e-07,8.111529477363358e-08,6.726605667717695e-08,6.282933435272291e-08,8.269829276720679e-08
F0,S11,3.697697561344589e-08,1.694625959548213e-08,6.611192426974757e-08,5.97248947795078e-08,5.002954593405267e-08,4.537761888465663e-08,5.659394254797755e-08
