,0
W0,3.0467428580038813e-10
W1,3.528474401548465e-09
W2,2.57326826513804e-10
W3,2.9226782105595817e-09
W4,5.39094768825521e-10
W5,2.230470586006561e-09
W6,1.936415250369805e-09
