,0
W0,8.654227334758957e-10
W1,4.7034010020041706e-09
W2,6.655467288396721e-10
W3,3.1134572697766316e-10
W4,1.8596579831609006e-09
W5,2.1538415495570007e-10
W6,1.460096932248689e-09
