,,W0,W1,W2,W3,W4,W5,W6
F0,S0,9.306988004271705e-08,27.844990002823486,2.5672468233711856e-07,6.451533072707193e-08,1.969881623445326e-07,9.575690405881001e-08,1.2290281027678008e-07
F0,S1,4.667889453517953e-08,2.761213174706278e-08,1.0020371612211093e-07,2.984197023975352e-08,9.37622751940777e-08,5.8855777071363544e-08,6.075629710578308e-08
F0,S2,5.6015014944744676e-08,2.4878880569872473e-08,8.626647039648286e-08,2.9052271809071738e-08,9.478559918847232e-08,5.924094456829661e-08,5.33198014101206e-08
F0,S3,4.694966095939517e-08,2.2408888336052923e-08,5.8903402295547474e-08,2.475024594407122e-08,7.353670351128826e-08,5.4228865950734485e-08,4.5045908974889046e-08
F0,S4,6.140497063812394e-08,545.2758581559123,1.81767409045518e-07,4.831733556439328e-08,1.0708087347507276e-07,146.87641144985463,8.102154152155e-08
F0,S5,6.937130242877642e-08,5.674659936576478e-08,9.994062886516906e-08,3.51888341860607e-08,1.2459892804337533e-07,1.9249460715600617e-07,7.761393635999436e-08
F0,S6,6.905956275682331e-08,5.2653607398263086e-08,2.674685775237017e-07,1.5650198523041668e-07,1.3439754882638566e-07,8.335527047918216e-08,2.0653142895704665e-07
F0,S7,4.752533634446179e-08,2.2029691913740028e-08,1.0543504512337388e-07,3.943161009091641e-08,8.4211261594956e-08,5.392016450406961e-08,6.497492468634995e-08
F0,S8,3.600488391830713e-08,1.628158331385938e-08,5.963028518036108e-08,2.319009062266644e-08,6.390998542777733e-08,4.121305906948547e-08,4.296218853968128e-08
F0,S9,4.3002756985512226e-08,1.8045131703154722e-08,6.037093873798414e-08,2.256028438430035e-08,7.231988701752544e-08,4.935647115043076e-08,4.227447290529776e-08
F0,S10,5.425620995024134e-08,7.573076775954071e-08,1.1030951670045263e-07,4.913426277146281e-08,9.984529216435418e-08,1.1727599977658681e-07,8.86595331431398e-08
F0,S11,343.43093098577475,4.221078896938585e-08,3.9135171731492807e-07,9.316994086305741e-08,252.13195325864777,148.46925290844,3.434590594574258e-07
F0,S12,6.262723151046112e-08,2.1961874093104116e-08,7.647596147314083e-08,3.493504444395978e-08,9.561868318532768e-08,6.5989157249621e-08,5.975864673777548e-08
F0,S13,1.6507366189102239e-07,3.471554856372103e-08,1.06284204152204e-07,4.5411280400097434e-08,2.168125476440194e-07,1.595856159265467e-07,9.263033486498349e-08
F0,S14,5.045523037919748e-08,3.367985259764994e-08,7.43459810828508e-08,3.246468206940862e-08,8.607380576692817e-08,6.319671804011084e-08,5.4395288387398106e-08
F0,S15,3.921638660279857e-08,2.161052804989083e-08,5.744186201180824e-08,2.604501330438239e-08,6.751215739698006e-08,5.161770658835743e-08,4.588987868082144e-08
F0,S16,5.245506695632674e-08,3.229704574463509e-08,9.966888667711327e-08,3.715734297566427e-08,1.0388395114176168e-07,6.125070532063564e-08,7.282614903884136e-08
F0,S17,1.1449825163980519e-07,4.242551706060196e-08,1.1588033767105269e-07,3.2680905626324913e-08,1.8047087725096443e-07,9.951861087741056e-08,6.436110243560886e-08
F0,S18,3.750846985341923e-08,2.9735694641838188e-08,8.663260983004432e-08,4.052889342368945e-08,7.108904371087803e-08,5.11281946302689e-08,6.780155045069883e-08
F0,S19,3.873801788792441e-08,2.4791251745813685e-08,6.830921243808795e-08,2.5439213747192944e-08,6.932607724480315e-08,5.294552925516102e-08,4.639451810413255e-08
F0,S20,7.362544338341016e-08,3.462620858611528e-08,8.602301050223676e-08,3.129139627690634e-08,1.1676614952461344e-07,7.315808339959543e-08,5.3782454870851054e-08
F0,S21,5.1507362877255555e-08,1.895774114211402e-08,7.525918231488587e-08,2.929942763745975e-08,8.575238094000686e-08,5.382002423226402e-08,5.3546943605277695e-08
F0,S22,4.78868977730427e-08,2.384558934761443e-08,5.8493359410875624e-08,2.303077538933394e-08,7.751067666675007e-08,6.172099481838613e-08,4.206401767344289e-08
F0,S23,3.688557616817598e-08,1.845386387692594e-08,6.696827854433701e-08,2.7869494233663913e-08,6.64375884884967e-08,4.5913045380462034e-08,5.0101544493415434e-08
F0,S24,4.13731438066049e-08,4.088413051352255e-08,6.713076461889447e-08,2.8542822459736048e-08,7.347364556778223e-08,7.658859728417109e-08,5.2742358839360726e-08
F0,S25,3.4399859256724e-08,1.6960771252353646e-08,5.680488343582207e-08,2.32774435144732e-08,6.146375899529792e-08,4.093047088609831e-08,4.2399671777058953e-08
F0,S26,6.151679380249605e-08,2.2981381762418364e-08,1.8768788375657494e-07,7.073285493678197e-08,1.2259922885266466e-07,6.451377592298592e-08,1.2626931361125902e-07
F0,S27,7.294039059728884e-08,2.622539693922937e-08,8.530725429208108e-08,3.5737602778936724e-08,1.1764015502761524e-07,7.374285506833314e-08,6.674955389282077e-08
F0,S28,5.862638905019625e-08,2.892580751613036e-07,9.863080552807448e-08,3.43605174814097e-08,1.0055177284011958e-07,2.4137455059474004e-07,6.481105656207017e-08
F0,S29,4.4256775632296736e-08,1.882167143820118e-08,7.009026669715849e-08,2.361629350047051e-08,7.786357854365746e-08,4.952745225076548e-08,4.607659954379607e-08
F0,S30,5.2889081007301425e-08,2.3754835561509457e-08,7.045814477148244e-08,2.5631768572091717e-08,8.653713105625405e-08,5.841453374006057e-08,4.800125582086457e-08
F0,S31,3.630150510463206e-08,1.8929531461268812e-08,5.611737792643327e-08,2.4464824684510235e-08,6.315798882807446e-08,4.6043414254686095e-08,4.267673123250165e-08
F0,S32,5.261767955398587e-08,2.2849911621688736e-08,9.904298525232975e-08,2.996701591625535e-08,1.0381977124309429e-07,5.864841297121376e-08,6.396281748595977e-08
F0,S33,4.310916909614696e-08,2.3236819516445497e-08,6.957881552281034e-08,3.110670633232058e-08,7.415032941852443e-08,5.5647910750518335e-08,5.394515755247846e-08
