,0
W0,1.4512063772897932e-09
W1,4.880688742048278e-09
W2,9.256718724870439e-10
W3,3.3690025214028196e-09
W4,4.304350209594077e-10
W5,1.037653831748031e-07
W6,1.3328265158207842e-09
