,,W0,W1,W2,W3,W4,W5,W6
F0,S0,7.133119724872252e-08,6.743624456003719e-08,2.692127316445402e-08,7.823651079850154e-08,1.1127085190183805e-07,3.4170664653310114e-08,1.186837090694525e-07
F0,S1,4.508628865054647e-08,5.4894067885786915e-08,2.280889545933216e-08,4.92277776913171e-08,7.983228114105989e-08,2.585069569416876e-08,8.796452590424264e-08
F0,S2,7.729796793279137e-08,1.2622770403525367e-07,2.9324789985619295e-08,8.069901906425611e-08,1.1912390894119482e-07,7.283016368452553e-08,1.2077998382104636e-07
F0,S3,9.846370266413625e-07,5.4341547209175795e-08,7.208109679402527e-08,9.173955761693242e-08,3.309402475066522e-07,7.121849374793082e-08,2.1547489636483986e-07
F0,S4,5.5097161345526135e-08,4.586310766665458e-08,2.283576953799083e-08,5.905274706519927e-08,8.85629033713969e-08,2.6197971139589837e-08,9.172308932715385e-08
F0,S5,7.920744692336989e-08,6.887342886188083e-08,5.771433411207736e-07,1.4938513495145058e-07,2.8210075230451723e-07,3.217293014690735e-08,2.896663955279859e-07
F0,S6,5.08608887271984e-08,5.985765711243618e-08,2.616330350336215e-08,9.428700616094712e-08,8.689926922215808e-08,2.911786415279026e-08,1.9567801038044244e-07
F0,S7,8.230018107463572e-08,1.1253289060525192e-07,4.0840618644163897e-08,1.228067575257705e-07,1.391217986817441e-07,4.745916140429576e-08,1.4453455991952e-07
F0,S8,4.604109931242261e-08,9.004638768227442e-08,2.5382169502102062e-08,6.160141526992075e-08,8.325904626989704e-08,3.763955246201923e-08,9.855281214161737e-08
F0,S9,3.7988063717855505e-08,6.875543639435853e-08,1.8675371257264942e-08,4.289730948198043e-08,6.694524146136005e-08,2.8022163702967545e-08,6.991871904050348e-08
F0,S10,5.395740544106868e-08,7.385050156165699e-08,2.314879963972667e-08,6.520128218796398e-08,8.89131316547468e-08,3.183866430874239e-08,9.531079225285522e-08
F0,S11,5.7557294882469654e-08,9.174088150732786e-08,1.8467355032072413e-08,5.889546430963497e-08,7.351840354978899e-08,4.580617702125302e-08,8.655810744473341e-08
F0,S12,4.108955077759818e-08,7.582461433941862e-08,1.9338247450845036e-08,5.084064047377572e-08,6.776392425179918e-08,3.209760195257093e-08,7.7414966822702e-08
F0,S13,4.3501560191148397e-08,4.7652298867973095e-08,1.873611092580464e-08,5.2453402984856764e-08,6.575304223910384e-08,2.4284040200324328e-08,7.708783452979722e-08
F0,S14,6.402954664118249e-08,1.1369041560129719e-07,3.410437090140044e-08,7.898827306685413e-08,1.1843960170616752e-07,5.3208732379805256e-08,1.4286190550426084e-07
F0,S15,7.347816780127627e-08,5.366793182109571e-08,2.432530190825485e-08,1.0913818577116433e-07,1.1257646491873058e-07,2.884448445270615e-08,1.2334407491227645e-07
F0,S16,7.437268032771573e-08,5.53605367346378e-08,6.426783811332729e-08,8.87332757925144e-08,1.6284459338175545e-07,2.953314798166062e-08,1.3387461130321047e-07
F0,S17,5.372021810212268e-08,5.949500219424559e-08,2.8796365683872004e-08,8.312362958547774e-08,9.087791288435192e-08,2.8327899525061204e-08,1.0361042092369532e-07
F0,S18,5.3604555279487285e-08,4.703884478933735e-08,2.794248439428369e-08,6.541304301717813e-08,9.348628946325514e-08,2.3285169403090003e-08,9.253790870562024e-08
F0,S19,6.72186125109163e-08,1.313137366146304e-07,2.9896185680536784e-08,7.497260223186553e-08,1.0840692389045527e-07,4.836268587119417e-08,1.157970458189471e-07
F0,S20,9.583892357342577e-08,8.356257862317411e-08,3.185127651619306e-08,7.292896826406676e-08,1.1962587366645942e-07,5.552275159182727e-08,1.2109362205138366e-07
F0,S21,6.001933860572423e-08,8.830072685725261e-08,2.3645178091208254e-08,7.163346977874858e-08,8.779345165209598e-08,4.581079826845581e-08,1.0719894105513245e-07
F0,S22,4.1214273063072256e-08,4.6074803916292516e-08,1.813027572383533e-08,4.9254514940106453e-08,6.713280107598525e-08,2.2730704540566228e-08,7.251180184113776e-08
F0,S23,6.537535875598482e-08,6.110773346484736e-08,2.0433076517394528e-08,7.820005830034956e-08,8.780272787759847e-08,3.235069252746045e-08,1.0722701341844715e-07
F0,S24,5.6002341598597324e-08,6.529325392989565e-08,2.1705538494003317e-08,5.0936023181915325e-08,8.2101693469499e-08,3.1707987900449916e-08,8.987328226003294e-08
F0,S25,5.926379374624589e-08,7.556158570781473e-08,2.2518650075491122e-08,6.363733725400838e-08,8.611765718161738e-08,3.657970148847071e-08,9.109315158917138e-08
F0,S26,7.472862769430688e-08,5.538273076805539e-08,3.951258763512501e-08,6.033922213666471e-08,1.760826095958048e-07,3.418999028844708e-08,1.5698829244056818e-07
F0,S27,4.452198249210625e-08,5.7261748905975706e-08,1.8102836030103975e-08,5.8393676910228927e-08,6.738003989899367e-08,2.4914532265277618e-08,8.063226309411663e-08
F0,S28,9.188378295470825e-08,14.619624030458391,8.542561010917494e-08,7.984582876684209e-08,2.3205372908756065e-07,9.620452853663153e-08,2.686595415237498e-07
F0,S29,3.2746465714455687e-07,6.782142544318961e-08,9.658515645493179e-08,1.2766160724555887e-07,4.234043876193074e-07,8.132829647870848e-08,3.5210409368778065e-07
F0,S30,5.577673988222909e-08,9.08395383460793e-08,2.4997642682384924e-08,6.164706153917582e-08,8.846784135651544e-08,4.256002534112818e-08,1.0305807084255695e-07
F0,S31,4.702140390702712e-08,1.6111416342959132e-07,3.951151450721098e-08,6.244155987793003e-08,9.93120212502663e-08,5.157659644451516e-08,9.760621533255951e-08
F0,S32,5.1997460945706085e-08,8.101800187207644e-08,2.618846352114561e-08,9.45882736278457e-08,8.747613722286641e-08,3.3660551478833196e-08,1.2749125207853684e-07
F0,S33,3.520295958865274e-08,7.302070153122356e-08,1.6807735359431574e-08,3.981015164582343e-08,5.903650469554659e-08,2.787541665516867e-08,6.155776012522042e-08
F0,S34,4.551572107202767e-08,5.4907086805062065e-08,2.2104416785920894e-08,5.371019745364884e-08,7.496377117997444e-08,2.603609102083068e-08,8.096354386575723e-08
F0,S35,9.905884422457933e-08,9.415055002044931e-08,3.499752298568989e-08,1.556595937196098e-07,1.3440208971870046e-07,5.106677610974677e-08,1.6950926942334522e-07
F0,S36,2.691439432157179,34.14984046160566,49.80009745879267,169.32459114481296,33.88718762600146,28.76056926150937,159.72102494339728
F0,S37,4.3635588143482354e-08,5.623319755549388e-08,2.4622731527753065e-08,5.6798385943990556e-08,8.13222852696657e-08,2.5657129477033727e-08,1.0186401966577587e-07
F0,S38,4.852742754312378e-08,1.7626982077299267e-07,2.2257025370515865e-08,5.953884884304382e-08,8.181657405828892e-08,4.157268168398441e-08,1.0617106023559904e-07
F0,S39,3.6542659244927146e-08,4.507104027536557e-08,1.7715377026279936e-08,4.0127874776814935e-08,6.199795261288547e-08,2.296804287115905e-08,6.395129372193406e-08
F0,S40,8.52828919861189e-08,6.30063549921524e-08,3.4073417459756104e-08,2.2442786640030014e-07,1.2083014542304065e-07,3.2919353032061635e-08,1.542914613532983e-07
F0,S41,4.068909756501693e-08,5.921758910793541e-08,2.0552411124167734e-08,4.4450681482449565e-08,7.353184660767788e-08,2.458578480106403e-08,8.341950576532703e-08
F0,S42,6.271005071695946e-08,7.963754258684189e-08,2.4497996956486962e-08,8.886864660850257e-08,9.287909994451337e-08,3.5725713727490575e-08,1.0999176486622871e-07
F0,S43,7.381944006918082e-08,7.084492219294105e-08,3.1524602955895724e-08,6.752850998305143e-08,1.299675690031869e-07,3.6157288048319315e-08,1.1507033923599178e-07
F0,S44,5.305116878807511e-08,8.03070233471284e-08,1.8893889971454885e-08,4.6395267992106426e-08,7.739514430810999e-08,3.455511433953976e-08,7.511583078017993e-08
F0,S45,4.1651519387283955e-08,7.175079460234301e-08,2.2516179817542756e-08,4.8722759884621746e-08,7.611245838042102e-08,2.9679990024389687e-08,8.893183052108564e-08
F0,S46,6.04409111581843e-08,1.0352190303296434e-07,3.3169388159103905e-08,6.490380123791279e-08,1.0713949884565101e-07,4.881462844266931e-08,1.1072415010659295e-07
F0,S47,5.251726711091259e-08,6.104611589940966e-08,2.7430298269347776e-08,6.169718503727638e-08,9.325017199151908e-08,3.298730668272041e-08,1.1885450978329666e-07
F0,S48,4.1450444646762515e-08,5.787887388605262e-08,1.8738071034232782e-08,4.403282295674441e-08,6.764201626738666e-08,2.923452629537045e-08,7.062180313988148e-08
F0,S49,3.624763755654039e-08,4.111202885172175e-08,1.5833873622098303e-08,3.768876318661255e-08,5.8795651626414584e-08,2.1135600896423915e-08,6.246372975120601e-08
F0,S50,5.142298190200035e-08,6.52358496679544e-08,2.3186965809343624e-08,7.854223791530913e-08,8.402318606241031e-08,2.6931157179733855e-08,1.0538565810999306e-07
F0,S51,6.214497094970118e-08,5.2646310447236665e-08,4.4259802815988346e-08,7.099960912219942e-08,1.383525955218839e-07,2.697800711057359e-08,1.318927413650623e-07
F0,S52,1.155438515877632e-07,5.7995613751213514e-08,1.529828391142387e-07,7.563146297620434e-08,3.223445581541408e-07,4.845593362053449e-08,4.4540408195719534e-07
F0,S53,7.21551615703622e-08,1.215986404710125e-07,4.021680460960509e-08,8.656773784531716e-08,1.2291179064493103e-07,5.918196782112271e-08,1.614036846947741e-07
F0,S54,8.040941888361795e-08,1.2907841764201057e-07,4.0914439957438434e-08,2.3363700663620855e-07,1.2165199188965605e-07,5.4223972441758275e-08,2.738446718475735e-07
F0,S55,6.804891826343557e-08,5.363012852811833e-08,2.7138203032547396e-08,1.0075819431781001e-07,1.050382674965278e-07,3.161738836372397e-08,1.4064366271443062e-07
F0,S56,1.859396425214055e-07,466.1629872974596,4.728227206539701e-07,4.38985957486713e-07,4.857654006812731e-07,436.95143563804413,5.650257081386329e-07
F0,S57,1.3934254683724276e-07,1.235647210238347e-07,7.259277274211513e-08,7.533666524729611e-07,2.2313548694145508e-07,7.61564465433925e-08,4.1935938430216075e-07
F0,S58,5.402777792919431e-07,5.423412208702356e-08,8.718962467043636e-07,7.272741839483835e-08,66.92575883820172,7.239317496652354e-08,6.30603919006654e-07
F0,S59,9.211913749778002e-08,1.0651333653241993e-07,3.8561222602432234e-08,1.2594494263135147e-07,1.5491927456489548e-07,4.731261433984655e-08,2.3248426482111314e-07
F0,S60,7.388574436848554e-08,6.56196912069363e-08,2.468391092387863e-08,8.20878315283639e-08,9.73013995490294e-08,3.300516806571376e-08,1.0516805103657886e-07
F0,S61,6.162082835864897e-08,3.6941989832904756e-08,2.362689373008175e-08,4.963659614291205e-08,9.082049974426014e-08,2.8982372556246712e-08,8.879871010716769e-08
F0,S62,1.2860559101842498e-07,1.4294833572716152e-07,4.901698370496535e-08,9.552812249627762e-08,1.9764100509912557e-07,9.515101028902151e-08,1.881207964370858e-07
F0,S63,4.070944971944992e-08,4.446726764653642e-08,1.640782070684849e-08,4.6235045425790566e-08,6.346152794791269e-08,2.239190503326572e-08,6.825126667809297e-08
F0,S64,4.207107754676858e-08,4.983856340933305e-08,1.9678873346191825e-08,4.443989941210435e-08,7.162156713512445e-08,2.5119367768542033e-08,8.511954132337465e-08
F0,S65,5.180332555484475e-08,6.606656741151781e-08,2.9729441241970694e-08,5.618151340994476e-08,9.570152680270894e-08,3.403063847344089e-08,1.138549674769518e-07
F0,S66,1.0952511047934677e-07,1.0487561396087065e-07,8.995268194955436,2.6574114380481536e-07,3.4644603929674445e-07,5.2672245499145245e-08,5.955407780812897e-05
F0,S67,4.6181631407992015e-08,6.40442331990939e-08,2.2981694886527078e-08,5.192326276953565e-08,8.013329799989841e-08,3.045526268413759e-08,8.805016230744023e-08
F0,S68,4.919917404042436e-08,1.0535217170812227e-07,2.3160452597641753e-08,4.930965103286474e-08,8.536832459063312e-08,3.784503133392582e-08,8.78773846008023e-08
F0,S69,6.679871083628944e-08,8.794490132759511e-08,2.8840215603043212e-08,7.880366336135606e-08,1.0617307660796132e-07,4.2022602389372943e-08,1.0675598718974298e-07
F0,S70,9.208274488214195e-08,1.7810800605575506e-07,2.2252808540755292e-08,1.1159945498106711e-07,9.253901950302885e-08,8.382851671171008e-08,1.207992687976097e-07
F0,S71,6.44622621761844e-08,4.9911724744606165e-08,2.577604314169884e-08,7.077181084020645e-08,9.510988919925344e-08,2.8164485985198827e-08,9.269262212727182e-08
F0,S72,5.1474003622424015e-08,6.149648424039148e-08,2.463902484185324e-08,5.2527429709920884e-08,8.532698536307074e-08,3.0673514472742407e-08,9.183340730538819e-08
F0,S73,4.3528142203453995e-08,6.960577258264649e-08,2.539763286203963e-08,5.407723528529024e-08,8.165154331368271e-08,2.8496464593762494e-08,8.528535466094849e-08
F0,S74,4.2333574544318946e-08,5.0497762324941714e-08,2.078019589672193e-08,5.880245480159567e-08,7.276512822047129e-08,2.4426359471500525e-08,9.760091489452037e-08
F0,S75,1.339420731905386e-07,5.660683277791923e-08,8.1111364339171e-08,3.074135596549713e-07,2.2657790943373772e-07,3.766253813059059e-08,2.4709929711696506e-07
F0,S76,4.4776935061424586e-08,7.651126820868062e-08,3.923052386831724e-08,6.208458133234904e-08,9.776743104332168e-08,3.373012321087663e-08,1.2415977508749964e-07
F0,S77,3.998744034296389e-08,5.023411246337846e-08,1.8915116266233577e-08,5.406945054432336e-08,6.561252688622623e-08,2.3216792988769652e-08,7.628182273265323e-08
F0,S78,9.318666371006425e-08,4.512764459314208e-08,3.4308382340414847e-08,5.211417946937777e-08,1.3573727133483617e-07,4.296861732002492e-08,1.1333582316442112e-07
F0,S79,1.6309100549743374e-07,1.1309799284307525e-07,2.4478421782246005e-08,7.894135631998509e-08,1.0775155860878038e-07,1.1845355213094736e-07,1.0876727394098904e-07
F0,S80,5.793247534205497e-08,5.298689233933112e-08,2.400880670213712e-08,4.811103389138269e-08,8.336207472107193e-08,2.6268540878509523e-08,8.731299748865894e-08
F0,S81,821.4462927053808,9.892679064822495e-08,190.3024795200541,1.0184578187459725e-07,463.053465553513,302.12563920506597,62.372683675249576
F0,S82,5.518207347535099e-08,6.626914809426196e-08,3.372572864808495e-08,6.840260409472441e-08,1.0476814123506503e-07,3.155345802461565e-08,1.1054072466590733e-07
F0,S83,8.305547417466026e-08,6.206858594749971e-08,2.7912965843119925e-08,1.400333019122656e-07,1.1588639392967474e-07,4.478913498234681e-08,2.5977607067029645e-07
F0,S84,6.358408388648984e-08,6.244972747321218e-08,2.721270165182206e-08,6.28128967968784e-08,1.04376941095632e-07,3.033006202196236e-08,1.1817972749375883e-07
