,,W0,W1,W2,W3,W4,W5,W6
F0,S0,2.6949149269881773e-08,5.2182198133197526e-08,4.333043992544612e-08,2.908157124507193e-08,8.219332957139719e-08,4.872619578102319e-08,4.631878638288178e-08
F0,S1,3.440343921467843e-08,7.028731866949221e-08,5.987420749772618e-08,4.260390480932902e-08,1.1054624364509506e-07,6.23600615110817e-08,6.927980405109806e-08
F0,S2,2.8237293122843753e-08,7.069026454569678e-08,4.97501626422031e-08,3.7252194723814605e-08,9.097209136740269e-08,6.066507517549723e-08,5.5902515434937974e-08
F0,S3,4.20868236085323e-08,8.924649833723071e-08,8.20063498448811e-08,8.270941089083246e-08,1.4943511995203946e-07,1.0336335368756992e-07,1.1156267618163468e-07
F0,S4,6.451204704382407e-08,8.038269909589047e-08,1.0344304902784193e-07,7.077972802950121e-08,2.0756188742347868e-07,1.1353808340957756e-07,1.2930435028095075e-07
F0,S5,2.565683135549998e-08,6.117649313507755e-08,4.269663674304172e-08,3.094071069577346e-08,7.958829064244304e-08,5.214887072816926e-08,4.711743100811803e-08
F0,S6,2.87329023588396e-08,7.065488017395127e-08,5.077529001066204e-08,4.496012994604029e-08,9.544378527193633e-08,6.590444222953457e-08,6.285323269943511e-08
F0,S7,4.223145785457979e-08,6.675669195442418e-08,8.713238231073018e-08,4.8353306877615695e-08,1.4755666417371497e-07,9.612044308129435e-08,1.0229661497669651e-07
F0,S8,9.884068333856709e-07,9.675803951463908e-08,4.318388735445803e-07,9.890840606875097e-07,5.009888137849592,6.815906668197243e-07,1.4644085517143626
F0,S9,5.6200320232485725e-08,7.160776553416972e-08,1.1332338278195996e-07,6.922487578789653e-08,2.0395323309085633e-07,1.3346277383275198e-07,1.5392029468002084e-07
F0,S10,3.437855245128247e-08,5.969053991600078e-08,5.3256613498265964e-08,3.379604093597641e-08,1.0735592098484997e-07,5.732653065504549e-08,5.031499799244284e-08
F0,S11,2.9401027832289857e-08,6.950262105020487e-08,5.1760014652270234e-08,4.3326940017162676e-08,9.6159098927852e-08,6.792843479289375e-08,6.105212491374924e-08
F0,S12,8.407116722281884e-08,7.407290535980756e-08,1.5816122471109853e-07,6.152594857430617e-08,3.1060716198999657e-07,1.3500769557837198e-07,1.546285237942566e-07
F0,S13,3.896151454553453e-08,6.3457018724064e-08,7.030213373969272e-08,4.0883520255761344e-08,1.3856639876371877e-07,6.586411785092268e-08,6.534503190931013e-08
F0,S14,4.5950180061390786e-08,8.511260040074551e-08,1.006274640572191e-07,6.527100401113919e-08,1.7888391191057876e-07,1.0650548234405823e-07,1.1606154383559444e-07
F0,S15,3.220972598531079e-08,8.945924108908197e-08,6.42188718250794e-08,5.650044788505776e-08,1.2126713080698353e-07,7.950588170590011e-08,6.953513456956595e-08
F0,S16,2.7938235648482876e-08,4.9010694746097957e-08,4.687700004769929e-08,2.7275973834046215e-08,8.835811936288842e-08,4.8731586443056944e-08,4.839816620069854e-08
