,,W0,W1,W2,W3,W4,W5,W6
F0,S0,1.8731816369647014e-08,1.132920699459199e-07,4.1529693881495846e-08,5.552456682001382e-08,7.4968159348034e-08,1.0414330663380751e-07,8.716401504452344e-08
F0,S1,9.323264997174022e-09,9.2612597031335e-08,2.7936796380747635e-08,2.877601198074563e-08,4.9841579484747485e-08,6.744532244175928e-08,5.3061953484372565e-08
F0,S2,2.0225381235797816e-08,9.491196571459188e-08,3.35423445966662e-08,2.977642514015322e-08,7.489894323364866e-08,1.1332886516065264e-07,5.6818753737728194e-08
F0,S3,1.1793465185063697e-08,9.656860384143015e-08,3.4225335828444804e-08,3.1919717795717597e-08,5.797341214661688e-08,7.642636492289503e-08,5.735138382745872e-08
F0,S4,1.4020707179618144e-08,9.409931259927242e-08,4.5190319877358575e-08,3.0713410189739625e-08,7.008968309742764e-08,8.809370608250347e-08,7.599652529212962e-08
F0,S5,1.4216744028175565e-08,1.1560401125255536e-07,3.251137748178675e-08,3.2221421611911516e-08,5.8213106575690364e-08,8.845498533891516e-08,5.424131926863364e-08
F0,S6,1.123025319087136e-08,9.390046192314173e-08,2.588387051808435e-08,2.6704342075678978e-08,4.8209296252246286e-08,7.537102717715846e-08,4.1787034771034266e-08
F0,S7,1.2983480209374796e-08,1.7869834364084634e-07,5.3346621592979334e-08,7.011774432703637e-08,9.332573228619619e-08,1.021970126100499e-07,1.4230132364359922e-07
F0,S8,1.02730995673394e-08,5.837624966696151e-08,2.274671962019961e-08,2.289561834620283e-08,4.419819518219154e-08,5.654657611871931e-08,3.806452352635846e-08
F0,S9,1.6197245819448626e-08,1.4228636915172025e-07,2.9121403887390374e-08,5.149924443500599e-08,5.7956951119612674e-08,1.3388585483868206e-07,7.196036080582988e-08
F0,S10,2.88886448800006e-08,2.4475776069306846e-07,5.963307918525541e-08,4.917586479353831e-08,1.4185155722189788e-07,1.7220864535139671e-07,1.0305171243614828e-07
F0,S11,2.8151581187722004e-08,1.7932192724266906e-07,3.260929984535231e-08,3.18436267999928e-08,7.89001185146731e-08,1.7397707816934358e-07,5.3263836502838793e-08
F0,S12,1.4229380250227998e-08,8.081423223887972e-08,9.799206515371887e-08,2.901383179937398e-08,2.4596584325257753e-07,8.616493381252852e-08,9.627366324370741e-08
F0,S13,1.4247314574791182e-08,7.747031343685396e-08,2.5951197363234907e-08,2.4764846853840605e-08,5.3144401599437965e-08,7.489275446026872e-08,4.123926538120913e-08
F0,S14,1.0824269280335023e-08,8.076292266010974e-08,2.8621535027529455e-08,3.521229167686353e-08,4.909762838616214e-08,6.938573906256607e-08,5.3821218010763326e-08
F0,S15,113.51625516158099,505.2090937594201,5.9134952262858885e-08,3.578710329687548e-08,7.874631610527207,588.2055531646562,6.785535417051879e-08
F0,S16,8.997607691136956e-09,6.056680760359593e-08,2.6880080165929475e-08,2.2074418565988994e-08,4.6183526694010383e-08,5.4926016903783946e-08,4.3883293393863624e-08
F0,S17,1.5630783469831494e-08,1.0989383570664697e-07,3.3056707223712676e-08,3.545430142607696e-08,6.134163763041805e-08,9.866176357009451e-08,6.755509083694083e-08
F0,S18,119.44145125371139,112.01306452711195,1.1254828880241215e-07,172.9105926806532,3.9489729316651354e-07,97.72909445238697,23.809482992979543
F0,S19,1.4431290768275839e-08,7.829322248908231e-08,3.268647888992104e-08,3.1557531900067695e-08,5.499200075503203e-08,7.55532086099382e-08,5.2506474266106166e-08
F0,S20,1.2570842073322363e-08,6.277112105723086e-08,1.0829495373395756e-07,3.6145439212510264e-08,1.6726562826044141e-07,6.515565908075789e-08,1.6382240717284972e-07
F0,S21,1.0789259685569558e-08,8.288232764772493e-08,3.4174411254884464e-08,2.864727705000921e-08,5.7897349889639414e-08,6.958830717430047e-08,5.530012151749576e-08
F0,S22,4.0048582123714154e-08,8.322857644895397e-08,4.3430392029892823e-08,2.9977562886200735e-08,1.0195998505070664e-07,1.0887485395750675e-07,6.706841877887689e-08
F0,S23,1.8343545583247696e-08,1.279439448826833e-07,5.168400213896149e-08,6.191219201631724e-08,9.816033933654171e-08,1.2797127734467478e-07,2.10220525907478e-07
F0,S24,2.1874360298529844e-08,5.812450294905426e-07,4.2389026329321796e-08,3.554523066921492e-08,9.435853591668866e-08,2.267541074060399e-07,7.193545461833393e-08
F0,S25,1.3093583927801649e-08,7.259981431385426e-08,3.4778967130254744e-08,9.724029867394405e-08,6.268047028095368e-08,7.582476576299031e-08,1.1047322745732373e-07
F0,S26,1.2582510844255654e-08,7.590767888748443e-08,5.656883201142161e-08,3.4490023331535654e-08,9.454394561403691e-08,7.34080539644155e-08,1.0067527881764058e-07
F0,S27,2.1574725310703862e-08,6.669486978325976e-08,5.063964400989602e-08,2.893686615829151e-08,8.760933043861299e-08,8.999392327895504e-08,8.76690814982414e-08
F0,S28,1.2833359645417235e-08,7.079715468676738e-08,2.8726036754524317e-08,2.1371163785882928e-08,5.871683286106913e-08,7.580111703998496e-08,4.221121047731491e-08
F0,S29,1.868730592558311e-08,1.2677237812032067e-07,3.84738738486925e-08,4.4101836575258966e-08,7.365049442054534e-08,1.1849610888071447e-07,9.738738911277833e-08
F0,S30,1.6841716425758535e-08,1.164438813832447e-07,4.7057851499166825e-08,3.9545528455212953e-08,7.801784763732571e-08,1.0641237717389608e-07,7.453112950420908e-08
F0,S31,240.60585186518782,8.211493269501562e-08,5.013863288093515e-08,2.6606508693169816e-08,2.452839294178004e-06,3.470937162083374e-07,5.374844876177376e-08
F0,S32,51.914676249149416,1.1892661049089753e-07,2.199193820515152e-07,3.0819728169970826e-08,39.64305642418368,4.2637951461841586e-07,3.376285389401886e-07
F0,S33,2.4049223548881477e-08,6.647249702541459e-08,3.6502157462088506e-08,2.9184454897564247e-08,9.954032333610733e-08,9.563392269865238e-08,5.123283370150619e-08
F0,S34,1.2783933352558503e-08,9.720374467658238e-08,3.1336836716441496e-08,3.587229651392832e-08,5.9468578458479836e-08,8.596866180265948e-08,5.8385884146072414e-08
F0,S35,41.85044258816958,9.300868477327689e-08,9.263338278746328e-08,6.223798876508373e-07,2.8568611877574074e-07,1.585359852270278e-07,3.06236155723915e-07
F0,S36,8.96397360692128e-09,7.114731811563676e-08,3.093126116774234e-08,2.7143981821721292e-08,5.283469001548071e-08,5.921775915536802e-08,5.4773433023302074e-08
F0,S37,6.474337475445838e-08,1.1073539019835881e-07,86.0294029181906,4.134931832477121e-08,9.400272872121866e-07,1.8787940650735212e-07,2.4020635231606696e-06
F0,S38,1.3803942667797522e-08,6.707633398540232e-08,3.001634247575332e-08,3.178600057360222e-08,6.028509362890847e-08,7.539777791870667e-08,5.467628155123726e-08
F0,S39,1.2323471084772452e-08,6.902038360636846e-08,3.103449926995067e-08,2.975377444526492e-08,5.8634522755991294e-08,6.867359183852508e-08,5.6128680338272815e-08
F0,S40,1.5746997168928884e-08,1.0143188431528941e-07,2.860856041275757e-08,15.67759509237522,5.251531323562331e-08,1.0109022585332369e-07,1.8044857041095575e-07
F0,S41,3.994851750428992e-08,94.89273225098329,3.9873200327706976e-08,3.5642830304387215e-08,1.1453955739336962e-07,6.226953010675917,1.1017717412641706e-07
F0,S42,1.2831265548961956e-08,8.907513482853599e-08,2.8957083173898e-08,4.829029819825326e-08,5.870205945445791e-08,8.137988131172198e-08,7.202613466426551e-08
F0,S43,1.5335711765997325e-08,4.947095561068366e-07,565.4761137988817,4.501496633341081e-08,236.33048965390094,1.6532962555153828e-07,307.748652802833
F0,S44,1.700637992957098e-08,8.143088682292789e-08,3.917884073526187e-08,2.6202403420367772e-08,7.633349116815342e-08,8.67431505864684e-08,4.89799760489101e-08
F0,S45,1.4711238856466376e-08,9.312910647832022e-08,3.9324435249381037e-08,2.673272484624139e-08,6.898128666506043e-08,9.24646614593065e-08,5.39504411971147e-08
F0,S46,1.317329348229711e-08,9.233060180903196e-08,2.858537303005117e-08,3.2281250071239934e-08,5.722614269059181e-08,8.68277306648979e-08,5.146547676203528e-08
F0,S47,68.41398222657882,5.902083763749429e-07,1.3566581436355266e-07,4.88214195544135e-08,54.32623352926914,131.43610592972485,2.0627718181558876e-07
F0,S48,1.2911386384307096e-08,7.339456471159063e-08,2.683417278904475e-08,6.217273697224373e-08,5.02638916796746e-08,8.019663413281595e-08,1.2352771450389766e-07
F0,S49,1.5063471921717383e-08,5.51806761537575e-07,3.050969366646341e-08,4.904377899006111e-08,5.73163280451886e-08,1.6190661355733452e-07,6.180133166613223e-08
F0,S50,1.061151107327858e-08,1.0725426551802425e-07,2.6266040977141808e-08,2.7519207295971235e-08,4.795546103772999e-08,7.560127021485935e-08,4.3881915664995937e-08
