,0
W0,1.8251254951806573e-09
W1,6.247372619228031e-10
W2,2.4585041780156303e-09
W3,1.9156307651257976e-09
W4,3.632539269382562e-09
W5,7.875387120215294e-09
W6,1.4370003076358273e-08
