,,W0,W1,W2,W3,W4,W5,W6
F0,S0,3.921461917261338e-07,5.453912914105937e-08,1.6196858553451748e-07,5.3604583637261835e-08,2.607817226211884e-07,1.141404262916494e-07,1.731255808015423e-07
F0,S1,5.131659713901232e-08,5.4535528654613665e-08,2.4178297209684537e-07,4.289435621183373e-08,7.309605337421108e-08,4.359203051726714e-08,2.470341393663086e-07
F0,S2,8.76527186996372e-08,1.0897699397207228e-07,7.920547818563337e-08,4.407112425549964e-08,6.441611182296724e-08,1.1417484349970397e-07,1.1827795583969841e-07
F0,S3,9.951752625547856e-08,4.9768924986574766e-08,8.027221250568451e-08,3.350847221331353e-08,8.556351635719785e-08,7.477809620249593e-08,1.0804960262074099e-07
F0,S4,4.3142847551821185e-08,4.525178340360675e-08,7.167797356825952e-08,4.385989257314996e-08,4.048489615144608e-08,4.091071761431926e-08,9.459844839916018e-08
F0,S5,4.651293431160065e-08,3.5609559800725094e-08,5.474637367013613e-08,2.2235339543210004e-08,4.236034506419643e-08,4.098595746111244e-08,6.610317439856941e-08
F0,S6,5.610757788435543e-08,2.723244567747697e-07,9.853868465113581e-08,5.984514523437215e-08,5.9149271061846454e-08,1.0196950108225359e-07,1.4537929755537588e-07
F0,S7,1.6066371391463177e-07,556.6044962248899,1.447711513006382e-07,9.351074000003484,1.316876453314723e-07,316.7786486065159,2.478648860055039e-07
F0,S8,8.690048290215976e-08,4.2708538876288314e-08,1.1099153070329137e-07,2.6183604262061263e-07,1.006063702936257e-07,6.556101551331054e-08,2.3386173481629618e-07
F0,S9,1.1339687632989018e-07,4.004447499542024e-08,5.746527993594798e-08,274.20677119155954,7.011646604060017e-08,9.978138310692687e-08,7.691382817082969e-07
F0,S10,5.74579072058053e-08,3.767025377512641e-08,5.68718997326315e-08,2.6475169008846916e-08,4.817539504810195e-08,5.004136917824139e-08,7.556716255916496e-08
F0,S11,6.903712027529953e-08,1.866117094379228e-07,1.0887312296855351e-07,7.570657729217509e-08,7.088571254611108e-08,1.7545509428205845e-07,1.75151368783942e-07
F0,S12,4.8800288354057416e-08,3.6978800073876055e-08,5.294957304008391e-08,2.224478074931997e-08,4.035128101326859e-08,4.13555500637839e-08,6.589680989696065e-08
F0,S13,5.281088646153717e-08,3.269990165112106e-08,5.860242403149455e-08,2.9123634598668374e-08,4.2928915131098574e-08,3.7043752219971205e-08,8.421448368437967e-08
F0,S14,6.813729058970337e-08,5.330225228071772e-08,8.148112077500883e-08,6.315541994205952e-08,5.6680327794669235e-08,5.522118336531851e-08,1.6150879490912251e-07
F0,S15,5.383968291018148e-08,3.5351336626308984e-08,5.498870044183807e-08,2.1301898671357575e-08,4.4296041710000485e-08,4.207114741591132e-08,6.472761338698539e-08
F0,S16,5.741351579248648e-08,1.8034791701566525e-07,9.011503937558842e-08,6.424969859096249e-08,4.739837652228155e-08,7.427514440627548e-08,1.3004654699221833e-07
F0,S17,7.779997179621365e-08,6.459850262642716e-08,6.962486882655115e-08,4.527070634071779,5.13899625816787e-08,7.577479634477948e-08,3.4829541055987447e-07
F0,S18,5.989980100729235e-08,7.996882246535761e-08,1.1744947967123962e-07,57.47688587666638,5.613467143907219e-08,7.644309365223257e-08,1.7129216173167754e-07
F0,S19,9.749228309194525e-08,3.7422862141939686e-08,7.438041506959039e-08,2.9346275342268774e-08,7.96299895229447e-08,5.5847361775758364e-08,1.0309155849911389e-07
F0,S20,6.519504177086507e-08,4.2647479280405726e-08,6.746695563578233e-08,3.103343024760401e-08,6.658541851170083e-08,5.781943859677653e-08,8.994778189149144e-08
F0,S21,6.550979317531922e-08,6.370431696835524e-08,8.26256674210613e-08,3.367075890255405e-08,5.802974602932197e-08,6.435297707858044e-08,1.0885545003038853e-07
F0,S22,6.373672558112835e-08,4.276211071462328e-08,5.8427610697873106e-08,2.8035499529063035e-08,5.212926153107799e-08,5.225583325007893e-08,9.449859263419226e-08
F0,S23,7.148654456031629e-08,1.4202023749633993e-07,1.0006189791071693e-07,4.640891525585789e-08,6.90229768254819e-08,1.1212583409043276e-07,1.524984199009695e-07
F0,S24,7.29628680621167e-08,3.405499144383817e-07,9.898494841101111e-08,8.307548583734966e-08,6.901187305617505e-08,1.999104051162951e-07,1.7275936100856732e-07
F0,S25,7.029998031792164e-08,3.475238918964509e-08,5.8256945021283e-08,2.5150499858298294e-08,5.6567674431016794e-08,4.627432663976507e-08,8.13353405226398e-08
F0,S26,5.97907928065201e-08,4.485253208267234e-08,6.703311484395596e-08,2.621777422972143e-08,4.8681875846654134e-08,4.913266901902747e-08,8.615392508641917e-08
F0,S27,6.264091706376414e-08,4.453264527423197e-08,9.372703217407446e-08,7.19031708824814e-08,6.14565473018938e-08,5.5213040370872905e-08,1.2521758158871394e-07
F0,S28,7.010476883082695e-08,4.5696481652649215e-08,8.76649993430168e-08,4.526687870053802e-08,5.4615504176248715e-08,4.828408007077337e-08,1.2829399800093646e-07
F0,S29,6.559561773527967e-08,5.085948250954207e-08,6.616635684121033e-08,3.1154270060526555e-08,5.541503716568839e-08,6.821753674255676e-08,9.176760438279843e-08
F0,S30,7.807384580030599e-08,4.0597970420092423e-08,6.8597024393626e-08,3.0594706412598294e-08,5.743624939573277e-08,5.3541745977443297e-08,8.972184745754898e-08
F0,S31,7.034788297495157e-08,4.884013219481393e-08,9.007659678951168e-08,4.6296705079355204e-08,6.352545664155331e-08,6.065014739742083e-08,1.1722879458006844e-07
F0,S32,1.285095391022663e-07,7.561711590727346e-08,1.819550603280628e-07,9.078811376338392e-08,1.5542980215469977e-07,1.2759347726554131e-07,2.419998595760853e-07
F0,S33,5.408431964342869e-08,4.511359536770909e-08,8.316355094373622e-08,2.9111515058612e-08,5.292215893996827e-08,4.627749128901591e-08,9.707357039324536e-08
F0,S34,4.2640764249459986e-08,3.341634788335225e-08,6.226811576344212e-08,2.327920244949398e-08,4.241480886041633e-08,3.4834637672224975e-08,7.732905511984054e-08
F0,S35,1.1246481430941251e-07,6.35498361102974e-08,8.732460919442188e-08,8.83885097583966e-08,8.042680364633525e-08,1.149756419798831e-07,2.3121041221678885e-07
