,,W0,W1,W2,W3,W4,W5,W6
F0,S0,3.962025860650228e-08,3.338890995389914e-08,7.327145133127634e-08,3.764309863218634e-08,7.97156218330277e-08,6.246215130295073e-08,6.383275659607196e-08
F0,S1,4.1569982329205114e-08,4.121812822468081e-08,1.1501227937667598e-07,8.415737593735052e-08,8.498597500892411e-08,7.338849901114115e-08,1.2054391702436955e-07
F0,S2,6.709386604219603e-08,3.734734712484925e-08,1.0130660307859116e-07,5.502461209221556e-08,1.2609259717906484e-07,9.726973166419568e-08,8.701776996767716e-08
F0,S3,3.484974475739976e-08,3.307543539307061e-08,6.304570592263247e-08,4.0842239106489825e-08,6.957555773460341e-08,5.868888000671278e-08,6.442947312856904e-08
F0,S4,5.7198352723860215e-08,3.44133786119345e-08,7.814890478182947e-08,4.4308692620367405e-08,1.0979562355393743e-07,1.0017595429234772e-07,6.964224888853934e-08
F0,S5,8.030789756292669e-08,3.963009054759833e-08,1.1633305271120472e-07,7.052420130441716e-08,1.4946925272830388e-07,1.4092788793063625e-07,9.550764259900012e-08
F0,S6,8.159775916277895e-08,4.206079059271159e-08,1.0121103271906534e-07,5.003886739466433e-08,1.7831050477479905e-07,1.6982996159809396e-07,7.844147206010252e-08
F0,S7,3.671985003523479e-08,4.261974690423207e-08,6.39074541882982e-08,3.648247596930146e-08,8.6552186130512e-08,8.057228644162536e-08,5.861830452023492e-08
F0,S8,3.762226324453841e-08,3.8071509487130406e-08,7.113749752112037e-08,4.1198305342456576e-08,7.874538293742984e-08,7.223517974462052e-08,6.583051371254137e-08
F0,S9,3.379845708829726e-08,3.177828395448342e-08,6.638643596226508e-08,4.020458601112698e-08,6.671280637419439e-08,5.3204513599236766e-08,6.668930199138311e-08
F0,S10,3.278973603323493e-08,3.148783754428768e-08,5.2151314147283004e-08,3.7972138082093767e-08,6.082357871869489e-08,5.150929515943008e-08,6.302707498371847e-08
F0,S11,2.0641736615437037e-07,4.61503734242725e-08,1.9599813786020484e-07,7.151708720043067e-08,7.861242899318777e-07,4.641833867635697e-07,1.1538164408793441e-07
F0,S12,9.968798465007402e-08,5.2985632967835136e-08,3.308846977197643e-07,1.3791166382333645e-07,4.71864671224907e-07,2.5990150178647256e-07,1.7381441122383108e-07
F0,S13,3.2040193600686444e-08,3.2055226403645713e-08,5.3688741158189146e-08,3.1185273531742875e-08,6.10809353511379e-08,5.440001090084596e-08,5.058796601067415e-08
F0,S14,4.421944667918846e-08,3.4132539010359875e-08,9.350087586202933e-08,9.885046586329879e-08,8.313800677421069e-08,6.767573482025823e-08,1.2747709242307876e-07
F0,S15,3.31302432586988e-08,3.8195374682104024e-08,6.692329575924016e-08,4.0755501277096096e-08,6.849424927508497e-08,6.177715376016678e-08,7.097990404983213e-08
F0,S16,6.097761333258971e-08,3.5992241522235156e-08,1.3012976852381565e-07,6.926128828621122e-08,1.2914188655027984e-07,9.598644610266575e-08,1.0733816706302968e-07
F0,S17,4.210734907869601e-08,3.497408185584227e-08,6.591522785003127e-08,3.991997517090652e-08,7.717441200625678e-08,6.991941640049052e-08,6.197350910781104e-08
F0,S18,3.9009867594974395e-08,3.1910707545224695e-08,6.694569037169061e-08,3.9061513609138506e-08,7.455437830914624e-08,6.627858294518548e-08,6.096319376673921e-08
F0,S19,5.4120757364172694e-08,4.862817326588681e-08,1.6800449622357916e-07,7.471678153584524e-08,1.8980743254782844e-07,9.709828110254242e-08,1.4032452101582524e-07
F0,S20,5.116135478811971e-08,4.9671485149284476e-08,1.5855099930060167e-07,7.181560620342804e-08,1.3523639713316509e-07,1.1014962193821433e-07,1.0843600252694792e-07
F0,S21,3.5674978590722226e-08,3.3087227194930604e-08,6.75707821559241e-08,4.558705750681872e-08,6.818900809903973e-08,5.9174525409149024e-08,7.234565990776047e-08
F0,S22,3.7142472305340125e-08,4.1680459920818905e-08,5.8572988069615766e-08,4.459276047867747e-08,8.1081263428101e-08,7.595881716151588e-08,7.369468650800007e-08
F0,S23,3.4705545092268064e-08,3.095113528197515e-08,4.726110435830421e-08,3.0928366071492454e-08,5.954291040720003e-08,5.738161580818704e-08,4.7916098160152875e-08
F0,S24,4.3996690046802e-08,3.507813453581226e-08,8.275569556272355e-08,4.783071138135655e-08,8.776878416258544e-08,7.098786129314137e-08,7.114227449987548e-08
F0,S25,3.6230149098282495e-08,4.099865368049256e-08,7.195319015892364e-08,4.020018524832343e-08,8.188688194001345e-08,7.01469528659998e-08,6.552945332757348e-08
F0,S26,3.785955046787726e-08,3.803884677900269e-08,1.0276461694639113e-07,5.721617116959403e-08,9.198464960138049e-08,7.065826094927636e-08,8.690720263643991e-08
F0,S27,3.8256215659096004e-08,3.357937656427557e-08,5.802919662299379e-08,4.071860520051818e-08,6.779199878908885e-08,6.577509976514042e-08,6.064454699695303e-08
F0,S28,3.589248669463574e-08,3.66109162791874e-08,7.536252861242709e-08,4.807283833875868e-08,7.356017314358207e-08,6.257800613660602e-08,7.577925066264058e-08
F0,S29,6.94357622152652e-08,4.122252402310977e-08,2.6256094995661364e-07,1.015680957358704e-07,1.8001283536690947e-07,1.1309795258760179e-07,1.5235895627419314e-07
F0,S30,7.925398732322213e-08,4.618749146834791e-08,1.1550236454435643e-07,1.3368603039344008e-07,1.6149545074940422e-07,1.948499361789666e-07,1.23621480219961e-07
F0,S31,1.9384031725144287e-07,5.8020253961525415e-08,2.712983027698282e-07,9.004426851851636e-08,1.1707374901729058e-05,1.0304597251676162e-06,1.3383592362135996e-07
F0,S32,5.007463627096919e-08,3.641424861243226e-08,2.1746536239505118e-07,6.787430322776352e-08,1.3348962584214877e-07,9.516904656136971e-08,1.1437055721859846e-07
F0,S33,5.560009263822903e-08,6.306763512303668e-08,1.6826977309078542e-07,7.046740288229206e-08,2.5171550851208324e-07,1.6053569986171986e-07,1.1858638206533346e-07
F0,S34,6.479836132124402e-08,4.910620380623523e-08,2.038556292522658e-07,7.598118552127879e-08,1.4282451466783632e-07,1.2973114021104857e-07,1.1669818074059082e-07
F0,S35,1.5897677168891985e-07,6.322989386312187e-08,2.0720113983035797e-07,1.1494341177192676e-07,6.217718078090656e-07,1.5053616318327957e-06,1.2909347130791452e-07
F0,S36,3.9506049057516226e-08,3.40947215338367e-08,9.482870150194305e-08,4.952250363931436e-08,8.811267816220306e-08,7.031032938380987e-08,8.022440143679937e-08
F0,S37,3.8691953141749774e-08,2.986532564739947e-08,5.651022110367768e-08,3.3518862730169386e-08,7.21191732994338e-08,6.258905249654762e-08,5.3933192656491885e-08
F0,S38,5.814231722506781e-08,4.8513992828947435e-08,1.3748412014693698e-07,3.8898534424811177e-07,1.1007175977097117e-07,1.0869587878829063e-07,3.1918687687398954e-07
F0,S39,3.5058949064918944e-08,3.9180816195851494e-08,6.798759809335862e-08,3.8425018968396265e-08,7.686424181789527e-08,6.658781717089696e-08,6.195142829666823e-08
F0,S40,7.817825830050553e-08,6.195648069963027e-08,1.3472019323855276e-07,1.0694958872593989e-07,1.8974803710149441e-07,2.0103347699274874e-07,1.556054789341885e-07
F0,S41,5.395744157530004e-08,4.273728996387658e-08,2.1007832632502708,16.12495879204972,1.4902386339875815e-07,1.1152992921998101e-07,5.626133886753999e-07
F0,S42,4.6461394915537665e-08,3.595405195996175e-08,7.634783521479747e-08,4.858608990370414e-08,9.305562569951751e-08,8.198834271678082e-08,7.273504346793764e-08
F0,S43,5.052374271098414e-08,3.438821348216595e-08,1.0909382879981979e-07,5.396033720043671e-08,1.0710538109635165e-07,8.23900680023453e-08,8.855538297243574e-08
F0,S44,5.120707117699526e-08,3.399085227353151e-08,7.426362466333913e-08,3.9155163003294824e-08,9.272968046088525e-08,8.18958667664828e-08,6.43067739262013e-08
F0,S45,3.74576293014622e-08,3.1212276534878175e-08,7.646338456825232e-08,4.5064404652807216e-08,7.69345180102646e-08,6.409722175493675e-08,7.008576782185543e-08
F0,S46,5.8068800279742595e-08,5.274574802655145e-08,51.38314049735168,1.7840205455710571e-07,2.920214395349223e-07,1.1248194238555613e-07,5.094430247967136e-07
F0,S47,3.299815647817847e-08,3.023572683716407e-08,5.119429656125384e-08,3.163555430144304e-08,6.161675344485709e-08,5.343034045668541e-08,5.166738390034115e-08
F0,S48,3.8653044865458914e-08,3.611642850550726e-08,7.114474745774013e-08,5.1130957928494137e-08,7.323527600424043e-08,6.843088662048137e-08,7.428413066697555e-08
F0,S49,3.6508025771490304e-08,3.717666753685863e-08,7.090277981433598e-08,5.2914256860119185e-08,7.538919466889606e-08,6.644704401258193e-08,8.450166248417202e-08
F0,S50,3.700508924408745e-08,3.521707998010018e-08,6.979185293481372e-08,4.7678897851209855e-08,7.617723893484697e-08,6.767509263610203e-08,7.211058718363959e-08
